EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Duke, 1, ACC, 35-5, +32.53, 117.0, 1, 84.5, 5,67.4, 245, +.009, 146, +11.83, 4, 104.7, 20, 92.9,1,1
2, Kansas, 1, B12, 33-3, +31.23, 116.8, 2, 85.6, 8,70.1, 116, +.038, 83, +10.47, 11, 105.2, 13, 94.8,29,29
3, Syracuse, 1, BE, 30-5, +26.96, 114.5, 6, 87.5, 15,71.8, 54, -.007, 190, +9.74, 21, 105.6, 7, 95.8,60,60
4, Kentucky, 1, SEC, 35-3, +25.93, 110.9, 23, 85.0, 6,71.5, 65, +.060, 43, +8.23, 54, 103.7, 43, 95.5,52,52
5, Kansas St., 2, B12, 29-8, +24.90, 111.9, 16, 87.0, 10,73.0, 26, -.007, 188, +12.33, 2, 106.3, 2, 94.0,10,10
6, West Virginia, 2, BE, 31-7, +24.88, 113.1, 11, 88.2, 20,66.1, 290, +.058, 45, +12.55, 1, 106.5, 1, 94.0,9,9
7, Ohio St., 2, B10, 29-8, +24.47, 113.6, 8, 89.1, 26,67.2, 251, +.008, 151, +8.64, 48, 103.3, 54, 94.7,27,27
8, Baylor, 3, B12, 28-8, +24.36, 115.2, 4, 90.8, 42,68.0, 224, -.020, 234, +10.63, 10, 105.0, 16, 94.4,16,16
9, Wisconsin, 4, B10, 24-9, +23.11, 111.7, 18, 88.6, 22,61.8, 341, -.011, 201, +9.53, 29, 104.8, 19, 95.3,48,48
10, BYU, 7, MWC, 30-6, +22.67, 113.3, 10, 90.6, 38,73.9, 19, +.012, 129, +3.83, 98, 101.6, 103, 97.7,104,104
11, Georgetown, 3, BE, 23-11, +22.05, 112.8, 14, 90.7, 41,68.8, 182, -.035, 265, +12.21, 3, 105.9, 4, 93.7,6,6
12, Butler, 5, Horz, 33-5, +21.93, 107.2, 49, 85.3, 7,66.1, 287, +.033, 90, +6.09, 74, 102.9, 67, 96.8,84,84
13, Maryland, 4, ACC, 24-9, +21.78, 113.7, 7, 91.9, 54,72.1, 45, -.022, 237, +9.61, 23, 103.7, 46, 94.1,11,11
14, California, 8, P10, 24-11, +21.57, 115.6, 3, 94.0, 81,69.9, 128, -.042, 280, +9.23, 35, 103.3, 55, 94.1,12,12
15, Purdue, 4, B10, 29-6, +21.51, 105.3, 73, 83.8, 3,69.4, 149, +.070, 33, +9.47, 30, 104.7, 22, 95.2,42,42
16, Texas A&M, 5, B12, 24-10, +20.89, 108.0, 44, 87.1, 11,67.7, 234, -.005, 183, +11.73, 5, 106.2, 3, 94.5,19,19
17, Villanova, 2, BE, 25-8, +20.67, 112.8, 13, 92.2, 57,74.2, 14, +.025, 102, +10.31, 14, 105.4, 10, 95.1,37,37
18, Xavier, 6, A10, 26-9, +20.49, 111.4, 19, 90.9, 44,71.6, 62, +.010, 142, +8.31, 53, 103.0, 64, 94.7,26,26
19, Texas, 8, B12, 24-10, +20.42, 110.1, 24, 89.7, 31,74.7, 10, -.015, 215, +9.62, 22, 104.2, 32, 94.6,20,20
20, Michigan St., 5, B10, 28-9, +19.69, 108.7, 32, 89.0, 25,68.2, 214, +.028, 96, +9.39, 32, 104.3, 29, 94.9,31,31
21, Temple, 5, A10, 29-6, +19.60, 104.1, 89, 84.5, 4,63.6, 332, +.077, 24, +6.13, 73, 102.9, 65, 96.8,85,85
22, Utah St., 12, WAC, 27-8, +19.59, 112.3, 15, 92.7, 63,63.3, 335, -.026, 245, +2.22, 128, 101.9, 86, 99.7,175,175
23, Missouri, 10, B12, 23-11, +19.54, 107.7, 46, 88.1, 19,71.7, 58, -.035, 264, +8.77, 45, 104.0, 38, 95.2,43,43
24, Marquette, 6, BE, 22-12, +19.27, 111.4, 20, 92.1, 56,65.5, 301, -.064, 312, +9.46, 31, 104.7, 21, 95.3,49,49
25, Clemson, 7, ACC, 21-11, +18.91, 106.9, 53, 88.0, 18,71.1, 71, -.041, 277, +9.56, 27, 103.3, 56, 93.8,7,7
27, Northern Iowa, 9, MVC, 30-5, +18.45, 105.8, 66, 87.4, 13,61.8, 343, +.034, 87, +4.38, 90, 102.5, 72, 98.2,120,120
28, Pittsburgh, 3, BE, 25-9, +18.26, 107.5, 47, 89.3, 28,64.7, 320, +.042, 76, +9.26, 34, 105.0, 17, 95.7,58,58
29, Saint Mary's, 10, WCC, 28-6, +18.20, 112.9, 12, 94.7, 88,68.5, 200, +.038, 82, +3.14, 112, 102.3, 82, 99.1,155,155
30, Tennessee, 6, SEC, 28-9, +18.13, 105.6, 69, 87.5, 14,70.4, 100, +.082, 19, +9.10, 39, 104.0, 36, 94.9,33,33
31, Georgia Tech, 10, ACC, 23-13, +17.85, 105.5, 71, 87.6, 16,71.4, 66, -.034, 262, +11.13, 8, 104.1, 34, 93.0,2,2
32, Washington, 11, P10, 26-10, +17.75, 107.8, 45, 90.1, 32,74.4, 11, +.028, 94, +7.98, 59, 103.9, 41, 95.9,62,62
33, Florida St., 9, ACC, 22-10, +17.65, 101.0, 146, 83.3, 2,68.5, 202, +.009, 147, +9.56, 26, 104.2, 33, 94.6,24,24
34, Minnesota, 11, B10, 21-14, +17.62, 108.0, 43, 90.4, 36,68.3, 209, -.056, 303, +9.01, 41, 104.5, 24, 95.5,51,51
35, Notre Dame, 6, BE, 23-12, +17.30, 115.0, 5, 97.7, 148,65.2, 309, -.067, 318, +7.85, 60, 103.9, 40, 96.0,65,65
36, Vanderbilt, 4, SEC, 24-9, +17.20, 109.6, 28, 92.4, 60,71.9, 51, +.019, 115, +9.12, 38, 104.2, 31, 95.1,39,39
37, Old Dominion, 11, CAA, 27-9, +17.10, 104.3, 86, 87.2, 12,65.0, 312, +.011, 135, +3.29, 109, 101.7, 96, 98.4,129,129
