EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Gonzaga, 1, WCC, 32-1, +33.03, 120.7, 10, 87.7, 2,69.7, 73, +.016, 150, +0.59, 128, 104.9, 138, 104.3,129,129
2, Villanova, 1, BE, 31-3, +30.72, 122.7, 2, 92.0, 11,63.6, 323, +.026, 116, +9.91, 27, 110.1, 28, 100.2,35,35
3, North Carolina, 1, ACC, 27-7, +27.91, 122.0, 4, 94.1, 25,70.3, 53, +.006, 175, +12.02, 11, 111.6, 6, 99.5,20,20
4, Kentucky, 2, SEC, 29-5, +27.15, 119.1, 14, 91.9, 10,72.4, 16, +.008, 169, +9.66, 30, 109.4, 38, 99.7,23,23
5, West Virginia, 4, B12, 26-8, +26.90, 116.5, 27, 89.6, 5,69.5, 80, -.043, 289, +9.85, 28, 109.4, 39, 99.5,17,17
6, Louisville, 2, ACC, 24-8, +26.62, 117.1, 23, 90.4, 7,67.6, 179, -.011, 215, +12.10, 9, 111.9, 4, 99.8,25,25
7, Virginia, 5, ACC, 22-10, +26.57, 113.6, 37, 87.0, 1,58.5, 351, -.051, 297, +12.03, 10, 111.4, 9, 99.3,14,14
8, Wichita St., 10, MVC, 30-4, +26.42, 119.6, 12, 93.2, 19,68.2, 132, -.014, 227, +0.65, 127, 104.3, 162, 103.7,114,114
9, Florida, 4, SEC, 24-8, +26.32, 115.8, 30, 89.5, 4,68.4, 119, -.046, 292, +11.54, 13, 110.1, 29, 98.5,5,5
10, Kansas, 1, B12, 28-4, +26.01, 120.8, 9, 94.8, 28,69.9, 67, +.074, 23, +12.26, 7, 111.1, 13, 98.8,10,10
11, SMU, 6, Amer, 30-4, +25.31, 120.1, 11, 94.8, 27,63.2, 330, +.020, 137, +3.18, 86, 104.9, 136, 101.8,71,71
12, Baylor, 3, B12, 25-7, +25.08, 117.3, 22, 92.2, 12,62.7, 337, +.002, 182, +12.82, 5, 111.4, 8, 98.6,6,6
13, Duke, 2, ACC, 27-8, +24.99, 121.0, 7, 96.0, 39,67.6, 182, +.027, 111, +12.26, 6, 111.4, 7, 99.2,13,13
14, Saint Mary's, 7, WCC, 28-4, +24.62, 119.0, 15, 94.3, 26,58.9, 350, +.034, 87, -0.32, 150, 104.0, 179, 104.3,131,131
15, Purdue, 4, B10, 25-7, +24.18, 116.9, 24, 92.7, 15,68.5, 115, -.023, 244, +8.01, 50, 108.8, 51, 100.7,46,46
16, Oregon, 3, P12, 29-5, +23.46, 117.6, 19, 94.1, 24,66.3, 240, +.036, 84, +6.05, 68, 107.6, 66, 101.6,69,69
17, Iowa St., 5, B12, 23-10, +23.17, 119.6, 13, 96.4, 43,67.8, 170, -.010, 212, +13.70, 4, 112.1, 2, 98.4,4,4
18, UCLA, 3, P12, 29-4, +22.68, 122.6, 3, 99.9, 82,72.8, 14, +.024, 123, +3.78, 81, 107.2, 74, 103.4,107,107
