EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Kentucky, 1, SEC, 38-1, +36.90, 119.4, 6, 82.5, 1,63.0, 271, +.048, 69, +9.86, 24, 107.9, 24, 98.0,21,21
2, Wisconsin, 1, B10, 36-4, +33.70, 127.0, 1, 93.3, 38,59.4, 347, +.015, 145, +11.00, 11, 108.2, 16, 97.2,8,8
3, Duke, 1, ACC, 35-4, +32.46, 122.5, 3, 90.0, 12,66.1, 112, +.068, 37, +11.25, 7, 109.1, 7, 97.8,18,18
4, Arizona, 2, P12, 34-4, +32.40, 117.9, 7, 85.5, 3,66.0, 116, -.032, 258, +8.04, 52, 107.1, 43, 99.1,53,53
5, Villanova, 1, BE, 33-3, +30.65, 120.6, 4, 89.9, 11,64.9, 169, +.031, 103, +8.41, 45, 107.1, 44, 98.7,46,46
6, Virginia, 2, ACC, 30-4, +30.08, 113.6, 22, 83.5, 2,58.9, 348, +.023, 126, +8.79, 34, 107.4, 38, 98.6,39,39
7, Gonzaga, 2, WCC, 35-3, +27.76, 119.7, 5, 92.0, 18,65.4, 142, +.019, 138, +5.11, 79, 106.2, 64, 101.1,101,101
8, Utah, 5, P12, 26-9, +27.26, 114.5, 16, 87.2, 6,61.8, 314, -.053, 300, +8.42, 44, 107.5, 30, 99.0,49,49
9, Notre Dame, 3, ACC, 32-6, +24.95, 123.4, 2, 98.5, 102,63.9, 236, +.062, 47, +8.56, 38, 106.7, 55, 98.2,26,26
10, North Carolina, 4, ACC, 26-12, +23.85, 117.1, 11, 93.2, 37,69.2, 18, -.026, 244, +13.55, 2, 110.1, 1, 96.5,3,3
11, Oklahoma, 3, B12, 24-11, +22.76, 110.4, 46, 87.7, 7,67.0, 70, -.044, 285, +11.30, 3, 108.9, 8, 97.6,17,17
12, Kansas, 2, B12, 27-9, +22.70, 112.5, 27, 89.8, 10,67.2, 60, +.071, 32, +14.01, 1, 109.6, 2, 95.6,1,1
13, Wichita St., 7, MVC, 30-5, +22.16, 113.7, 19, 91.6, 15,62.8, 286, +.022, 132, +3.62, 92, 104.2, 100, 100.6,89,89
14, Baylor, 3, B12, 24-10, +22.11, 114.5, 15, 92.4, 23,62.3, 303, -.035, 266, +11.04, 9, 107.8, 25, 96.8,7,7
15, Michigan St., 7, B10, 27-12, +21.70, 114.5, 14, 92.8, 30,63.2, 268, -.017, 221, +11.20, 8, 109.3, 6, 98.1,25,25
16, Iowa St., 3, B12, 25-9, +21.45, 116.9, 12, 95.5, 59,69.9, 10, +.006, 173, +11.27, 6, 107.9, 21, 96.6,4,4
17, Louisville, 4, ACC, 27-9, +21.22, 108.2, 64, 86.9, 5,65.1, 160, +.027, 115, +10.45, 20, 108.4, 13, 98.0,22,22
18, Northern Iowa, 5, MVC, 31-4, +20.91, 114.1, 18, 93.2, 36,58.5, 349, +.018, 139, +1.91, 111, 103.2, 127, 101.2,104,104
19, Ohio St., 10, B10, 24-11, +20.77, 113.6, 21, 92.8, 26,65.6, 135, -.042, 278, +8.25, 49, 107.4, 35, 99.1,56,56
20, Butler, 6, BE, 23-11, +20.09, 108.1, 66, 88.0, 8,63.9, 239, -.022, 233, +10.24, 22, 109.4, 5, 99.1,55,55
21, Xavier, 6, BE, 23-14, +19.48, 114.6, 13, 95.1, 57,65.4, 141, -.062, 317, +10.84, 16, 108.3, 15, 97.5,12,12
22, Georgetown, 4, BE, 22-11, +19.10, 112.1, 29, 93.0, 34,64.5, 185, -.000, 183, +11.29, 5, 109.6, 3, 98.3,30,30
23, Iowa, 7, B10, 22-12, +19.02, 112.0, 30, 93.0, 33,64.2, 214, -.007, 203, +9.65, 25, 108.0, 20, 98.4,35,35
24, Texas, 11, B12, 20-14, +18.90, 110.3, 48, 91.4, 14,62.6, 290, -.079, 329, +10.67, 17, 107.5, 29, 96.8,6,6
25, West Virginia, 5, B12, 25-10, +17.62, 110.5, 45, 92.8, 29,68.4, 27, +.087, 15, +10.50, 19, 107.9, 23, 97.4,11,11
26, SMU, 6, Amer, 27-7, +17.50, 111.0, 37, 93.5, 39,63.4, 260, -.004, 193, +3.37, 95, 104.2, 99, 100.9,99,99
27, Providence, 6, BE, 22-12, +16.72, 110.5, 44, 93.8, 42,65.8, 127, +.039, 84, +10.99, 12, 108.6, 10, 97.6,15,15
28, BYU, 11, WCC, 25-10, +16.67, 117.2, 10, 100.5, 139,70.6, 5, -.055, 305, +4.59, 82, 105.8, 73, 101.2,103,103
29, Arkansas, 5, SEC, 27-9, +16.42, 112.7, 26, 96.2, 67,69.7, 13, +.045, 72, +7.13, 62, 106.3, 62, 99.2,57,57
30, VCU, 7, A10, 26-10, +16.27, 109.0, 58, 92.8, 25,66.6, 85, +.044, 74, +7.11, 63, 106.6, 58, 99.5,67,67
31, San Diego St., 8, MWC, 27-9, +15.93, 102.8, 164, 86.9, 4,61.1, 333, +.026, 118, +4.30, 88, 105.0, 86, 100.7,93,93
32, North Carolina St., 8, ACC, 22-14, +15.93, 112.8, 25, 96.8, 76,64.5, 183, -.003, 190, +11.30, 4, 108.6, 9, 97.3,10,10
33, Maryland, 4, B10, 28-7, +15.72, 109.3, 55, 93.5, 40,64.5, 194, +.128, 2, +8.39, 46, 107.4, 31, 99.0,50,50
35, Georgia, 10, SEC, 21-12, +15.09, 107.4, 71, 92.3, 22,64.7, 176, +.001, 181, +9.19, 29, 107.4, 34, 98.2,27,27
37, Davidson, 10, A10, 24-8, +14.97, 117.6, 9, 102.7, 179,67.1, 63, +.056, 53, +3.17, 98, 103.9, 109, 100.7,92,92
38, Oklahoma St., 9, B12, 18-14, +14.89, 109.6, 51, 94.7, 53,63.9, 241, -.045, 286, +10.85, 15, 107.0, 49, 96.2,2,2
40, UCLA, 11, P12, 22-14, +14.68, 110.8, 40, 96.1, 65,66.6, 89, +.032, 98, +9.25, 27, 106.9, 52, 97.6,16,16
