EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Ohio St., 1, B10, 34-3, +32.78, 120.3, 1, 87.5, 8,66.2, 268, +.031, 102, +10.12, 19, 106.0, 14, 95.9,31,31
2, Kansas, 1, B12, 35-3, +27.94, 115.5, 5, 87.6, 9,70.9, 51, +.061, 37, +8.61, 32, 105.2, 25, 96.6,56,56
3, Duke, 1, ACC, 32-5, +27.79, 115.5, 6, 87.8, 11,71.7, 35, +.018, 138, +9.52, 28, 104.4, 35, 94.9,11,11
4, Pittsburgh, 1, BE, 28-6, +26.40, 115.9, 4, 89.6, 25,64.8, 313, -.022, 236, +9.54, 27, 104.8, 29, 95.2,20,20
5, Texas, 4, B12, 28-8, +25.38, 111.1, 22, 85.7, 3,68.7, 156, -.058, 307, +8.32, 34, 104.5, 32, 96.2,40,40
6, Wisconsin, 4, B10, 25-9, +25.31, 118.2, 2, 92.9, 56,59.3, 345, -.003, 192, +11.29, 10, 106.7, 9, 95.4,23,23
7, Kentucky, 4, SEC, 29-9, +25.26, 113.9, 8, 88.6, 18,67.8, 203, -.043, 284, +9.96, 22, 104.9, 28, 94.9,12,12
8, San Diego St., 2, MWC, 34-3, +24.52, 109.9, 27, 85.3, 2,65.6, 298, +.059, 41, +7.31, 50, 104.2, 38, 96.9,66,66
9, Purdue, 3, B10, 26-8, +24.20, 111.5, 17, 87.3, 7,68.5, 168, +.008, 158, +10.63, 15, 105.6, 19, 94.9,13,13
10, Connecticut, 3, BE, 32-9, +23.33, 111.3, 20, 88.0, 15,67.4, 221, +.049, 58, +13.10, 3, 106.8, 7, 93.7,2,2
11, BYU, 3, MWC, 32-5, +22.86, 113.7, 10, 90.8, 33,72.5, 28, +.056, 46, +6.98, 53, 103.5, 55, 96.5,53,53
12, Notre Dame, 2, BE, 27-7, +22.69, 116.4, 3, 93.7, 64,66.0, 277, +.074, 23, +10.99, 14, 105.4, 24, 94.4,4,4
13, Syracuse, 3, BE, 27-8, +21.88, 109.8, 28, 87.9, 14,68.1, 185, +.033, 94, +10.35, 17, 105.5, 22, 95.1,16,16
14, Louisville, 4, BE, 25-10, +21.87, 108.1, 45, 86.2, 5,69.2, 126, -.037, 271, +10.05, 21, 105.5, 21, 95.4,24,24
15, North Carolina, 2, ACC, 29-8, +21.68, 107.6, 50, 86.0, 4,74.0, 11, +.064, 33, +11.66, 8, 106.7, 8, 95.1,15,15
16, Washington, 7, P10, 24-11, +21.27, 113.2, 13, 91.9, 45,73.2, 19, -.099, 334, +7.78, 40, 103.7, 49, 96.0,34,34
17, Florida, 2, SEC, 29-8, +20.13, 111.2, 21, 91.1, 34,65.7, 291, +.037, 83, +8.53, 33, 103.8, 47, 95.2,19,19
18, Illinois, 9, B10, 20-14, +19.67, 109.2, 34, 89.5, 24,67.9, 198, -.073, 322, +12.78, 5, 107.4, 5, 94.6,7,7
19, West Virginia, 5, BE, 21-12, +19.65, 110.3, 23, 90.7, 31,65.9, 281, -.018, 226, +12.92, 4, 107.7, 1, 94.7,8,8
