EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Florida, 3, SEC, 33-6, +27.56, 113.8, 4, 86.2, 7,69.8, 118, -.011, 194, +8.32, 35, 104.7, 29, 96.4,56,56
2, Duke, 1, ACC, 32-4, +26.98, 115.7, 1, 88.7, 18,73.0, 29, +.048, 55, +10.75, 2, 105.3, 16, 94.5,5,5
3, Texas, 2, B12, 30-7, +25.23, 113.5, 6, 88.3, 14,67.0, 244, +.038, 74, +8.32, 36, 103.5, 52, 95.2,18,18
4, Connecticut, 1, BE, 30-4, +24.82, 113.4, 7, 88.6, 16,72.6, 37, +.078, 24, +9.29, 19, 104.6, 35, 95.3,21,21
5, Villanova, 1, BE, 28-5, +23.98, 111.7, 13, 87.7, 11,69.1, 139, +.081, 20, +10.75, 1, 105.3, 11, 94.6,7,7
6, Memphis, 1, CUSA, 33-4, +23.01, 109.1, 28, 86.1, 6,74.6, 12, -.007, 184, +5.07, 81, 101.6, 107, 96.5,61,61
7, UCLA, 2, P10, 32-7, +22.86, 108.7, 31, 85.8, 4,64.8, 300, +.021, 114, +8.77, 28, 104.5, 36, 95.8,34,34
8, Illinois, 4, B10, 26-7, +22.71, 110.6, 17, 87.9, 12,65.2, 289, -.019, 213, +7.62, 47, 103.8, 47, 96.2,48,48
9, Kansas, 4, B12, 25-8, +22.69, 106.5, 56, 83.8, 2,71.0, 71, -.043, 271, +7.19, 52, 103.6, 51, 96.5,58,58
10, North Carolina, 3, ACC, 23-8, +21.65, 111.8, 12, 90.2, 26,73.2, 23, -.009, 190, +9.81, 13, 105.1, 20, 95.3,22,22
11, LSU, 4, SEC, 27-9, +21.52, 106.1, 62, 84.5, 3,70.5, 95, +.008, 146, +10.75, 3, 105.3, 12, 94.6,6,6
