EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
12, Pittsburgh, 5, BE, 25-8, +21.19, 108.4, 34, 87.2, 10,68.2, 183, -.031, 241, +8.91, 25, 105.5, 7, 96.6,65,65
13, Georgetown, 7, BE, 23-10, +20.74, 112.1, 10, 91.4, 42,61.0, 328, -.026, 227, +9.40, 17, 105.0, 25, 95.6,28,28
14, Ohio St., 2, B10, 26-6, +20.25, 109.2, 23, 89.0, 20,68.0, 195, +.028, 98, +7.71, 45, 104.5, 37, 96.8,73,73
15, Washington, 5, P10, 26-7, +19.69, 111.3, 14, 91.6, 44,73.7, 17, +.008, 148, +6.64, 63, 103.1, 62, 96.5,59,59
16, West Virginia, 6, BE, 22-11, +19.10, 112.7, 9, 93.6, 72,65.1, 294, -.047, 278, +10.68, 4, 105.5, 8, 94.8,8,8
17, Tennessee, 2, SEC, 22-8, +18.99, 113.7, 5, 94.7, 86,73.4, 22, +.012, 137, +9.83, 12, 105.1, 22, 95.2,19,19
18, Boston College, 4, ACC, 28-8, +18.19, 113.8, 3, 95.6, 99,65.3, 287, +.024, 107, +7.61, 48, 104.2, 42, 96.6,66,66
19, Arkansas, 8, SEC, 22-10, +18.07, 108.5, 33, 90.4, 29,69.6, 123, -.061, 293, +7.22, 51, 103.3, 57, 96.1,46,46
21, George Mason, 11, CAA, 27-8, +17.85, 106.5, 57, 88.7, 17,65.5, 278, +.017, 124, +3.86, 89, 102.2, 84, 98.3,110,110
22, Iowa, 3, B10, 25-9, +17.83, 100.3, 150, 82.5, 1,67.6, 216, +.047, 57, +8.37, 34, 105.0, 24, 96.7,68,68
23, Arizona, 8, P10, 20-13, +16.85, 108.2, 37, 91.3, 40,71.0, 74, -.038, 257, +10.68, 5, 105.0, 26, 94.3,2,2
24, Kentucky, 8, SEC, 22-13, +16.68, 110.7, 16, 94.0, 77,67.3, 229, -.000, 171, +10.53, 6, 105.4, 10, 94.9,11,11
25, Bradley, 13, MVC, 22-11, +16.12, 104.3, 80, 88.2, 13,71.6, 55, -.019, 212, +6.76, 61, 102.4, 78, 95.7,30,30
27, Michigan St., 6, B10, 22-12, +15.67, 111.9, 11, 96.2, 109,67.6, 218, +.004, 160, +9.31, 18, 103.7, 48, 94.4,4,4
28, Wichita St., 7, MVC, 26-9, +15.66, 107.8, 41, 92.2, 47,65.7, 276, +.032, 89, +6.40, 70, 102.1, 87, 95.7,33,33
30, Northern Iowa, 10, MVC, 23-10, +15.52, 105.8, 68, 90.3, 28,62.3, 324, -.025, 223, +6.45, 67, 101.7, 103, 95.2,17,17
31, Texas A&M, 12, B12, 22-9, +15.52, 102.6, 108, 87.1, 9,66.6, 253, -.008, 185, +5.50, 78, 102.5, 77, 97.0,81,81
32, North Carolina St., 10, ACC, 22-10, +15.51, 108.8, 30, 93.3, 67,67.6, 219, +.013, 133, +7.63, 46, 104.6, 34, 97.0,80,80
33, Gonzaga, 3, WCC, 29-4, +15.32, 114.9, 2, 99.6, 170,70.0, 110, +.036, 79, +5.48, 79, 102.0, 91, 96.5,60,60
34, Indiana, 6, B10, 19-12, +15.22, 106.4, 59, 91.2, 37,69.7, 121, -.011, 196, +9.45, 16, 105.6, 5, 96.2,47,47
36, Marquette, 7, BE, 20-11, +15.03, 108.6, 32, 93.5, 70,71.0, 77, -.011, 197, +9.28, 20, 105.8, 1, 96.5,63,63
37, Nevada, 5, WAC, 27-6, +14.80, 106.0, 63, 91.2, 38,68.9, 147, +.025, 104, +2.57, 108, 100.9, 129, 98.4,111,111
38, Wisconsin, 9, B10, 19-12, +14.68, 108.0, 39, 93.3, 68,68.2, 186, -.023, 220, +8.97, 24, 104.1, 44, 95.1,14,14
40, Air Force, 13, MWC, 24-7, +14.63, 110.3, 20, 95.7, 101,58.1, 333, -.001, 173, +1.44, 126, 100.1, 164, 98.6,118,118
41, UNC Wilmington, 9, CAA, 25-8, +14.43, 103.3, 94, 88.9, 19,66.1, 267, -.005, 181, +1.43, 127, 100.6, 145, 99.2,134,134
43, George Washington, 8, A10, 27-3, +14.37, 107.2, 48, 92.8, 57,73.5, 20, +.105, 6, -0.32, 161, 98.5, 220, 98.9,124,124
46, Oklahoma, 6, B12, 20-9, +13.73, 109.1, 27, 95.4, 95,65.3, 284, +.050, 51, +7.06, 54, 103.0, 64, 96.0,40,40
47, California, 7, P10, 20-11, +13.39, 107.0, 51, 93.6, 73,65.0, 297, +.021, 111, +8.55, 31, 104.3, 39, 95.8,35,35
48, Southern Illinois, 11, MVC, 22-11, +13.22, 99.2, 171, 86.0, 5,63.9, 315, +.033, 88, +5.72, 75, 100.7, 139, 95.0,13,13
50, Syracuse, 5, BE, 23-12, +12.86, 106.0, 66, 93.1, 65,71.6, 57, +.077, 26, +10.22, 10, 105.2, 19, 95.0,12,12
52, San Diego St., 11, MWC, 24-9, +12.51, 109.2, 24, 96.7, 119,69.2, 136, +.000, 170, +2.75, 105, 100.9, 131, 98.1,103,103
53, Xavier, 14, A10, 21-11, +12.50, 107.2, 46, 94.7, 88,67.8, 202, -.066, 300, +3.06, 99, 101.1, 123, 98.0,99,99
56, Bucknell, 9, Pat, 27-5, +12.38, 102.3, 112, 89.9, 24,64.6, 304, +.093, 13, -3.27, 209, 97.2, 264, 100.4,165,165
57, UAB, 9, CUSA, 24-7, +12.33, 105.3, 72, 93.0, 61,71.5, 61, +.059, 44, +1.47, 125, 98.9, 205, 97.4,88,88
60, Alabama, 10, SEC, 18-13, +12.15, 109.1, 26, 96.9, 122,66.2, 262, +.005, 153, +10.17, 11, 105.1, 23, 94.9,10,10
62, Milwaukee, 11, Horz, 22-9, +11.59, 104.6, 78, 93.0, 62,70.7, 90, +.017, 126, +1.53, 124, 101.8, 99, 100.2,161,161
64, Iona, 13, MAAC, 23-8, +11.10, 105.8, 67, 94.7, 90,73.2, 24, +.024, 108, +0.21, 155, 102.8, 70, 102.5,246,246
68, Utah St., 12, WAC, 23-9, +10.59, 109.3, 22, 98.8, 157,64.7, 301, +.026, 102, +1.95, 118, 99.9, 165, 98.0,98,98
69, Pacific, 13, BW, 24-8, +10.59, 106.0, 65, 95.4, 96,66.1, 266, +.011, 142, -1.94, 186, 99.8, 174, 101.8,204,204
70, Kent St., 12, MAC, 25-9, +10.27, 104.5, 79, 94.2, 80,68.8, 156, +.019, 118, +0.92, 134, 100.5, 154, 99.5,143,143
75, Winthrop, 15, BSth, 23-8, +9.90, 100.5, 147, 90.6, 30,67.4, 226, -.027, 230, -4.67, 232, 99.5, 190, 104.1,307,307
84, South Alabama, 14, SB, 24-7, +9.04, 105.4, 71, 96.4, 114,68.8, 153, +.057, 46, -2.54, 195, 97.9, 236, 100.4,166,166
86, Montana, 12, BSky, 24-7, +8.83, 108.3, 36, 99.5, 167,69.5, 127, +.056, 48, -0.82, 170, 100.6, 146, 101.5,190,190
87, Seton Hall, 10, BE, 18-12, +8.81, 102.4, 110, 93.6, 74,68.9, 148, +.086, 17, +7.95, 41, 103.5, 54, 95.6,26,26
88, Murray St., 14, OVC, 24-7, +8.36, 100.7, 141, 92.3, 50,66.9, 245, +.009, 144, -4.93, 240, 99.5, 186, 104.5,316,316
93, Northwestern St., 14, Slnd, 26-8, +7.32, 103.0, 104, 95.7, 102,70.7, 86, +.017, 123, -2.11, 188, 98.9, 204, 101.0,176,176
97, Penn, 15, Ivy, 20-9, +7.10, 98.1, 188, 91.0, 35,67.3, 230, -.029, 237, -3.98, 218, 97.5, 252, 101.5,194,194
112, Oral Roberts, 16, MCon, 21-12, +5.56, 103.4, 91, 97.9, 140,70.1, 107, -.034, 252, -3.44, 213, 99.7, 178, 103.2,273,273
122, Davidson, 15, SC, 20-11, +4.79, 106.6, 55, 101.8, 208,69.0, 142, -.024, 222, -3.05, 206, 98.5, 223, 101.5,193,193
138, Albany, 16, AE, 21-11, +2.56, 102.2, 113, 99.7, 174,66.8, 247, +.028, 96, -5.58, 250, 96.6, 278, 102.1,225,225
165, Monmouth, 16, NEC, 19-15, -0.72, 92.1, 282, 92.8, 56,67.8, 205, +.019, 119, -4.53, 230, 97.6, 248, 102.2,226,226
166, Belmont, 15, ASun, 20-11, -0.73, 103.6, 88, 104.3, 261,72.1, 46, +.025, 105, -8.82, 301, 96.7, 272, 105.5,325,325
198, Southern, 16, SWAC, 19-13, -3.44, 92.2, 278, 95.7, 100,68.8, 150, +.081, 19, -8.62, 299, 93.2, 322, 101.8,208,208
271, Hampton, 16, MEAC, 16-16, -10.29, 88.0, 317, 98.3, 146,71.5, 59, -.056, 288, -13.83, 324, 90.7, 333, 104.5,319,319
