EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Louisville, 4, Amer, 31-6, +30.40, 118.3, 7, 87.9, 5,68.9, 60, -.044, 278, +5.24, 90, 107.1, 91, 101.9,89,89
2, Arizona, 1, P12, 33-5, +30.12, 115.9, 20, 85.8, 1,64.4, 280, +.014, 151, +10.38, 10, 110.0, 18, 99.6,16,16
3, Florida, 1, SEC, 36-3, +28.55, 116.0, 19, 87.4, 3,62.9, 328, +.053, 68, +9.96, 19, 109.5, 26, 99.5,15,15
4, Virginia, 1, ACC, 30-7, +26.45, 114.1, 27, 87.7, 4,61.2, 344, +.013, 153, +9.38, 29, 109.4, 28, 100.0,26,26
5, Wisconsin, 2, B10, 30-8, +25.83, 121.4, 4, 95.6, 36,63.9, 297, +.019, 133, +12.08, 2, 110.2, 14, 98.1,1,1
6, Wichita St., 1, MVC, 35-1, +25.36, 117.1, 17, 91.8, 11,64.9, 258, -.009, 205, +1.68, 120, 105.8, 114, 104.1,131,131
7, Kansas, 2, B12, 25-10, +24.55, 118.7, 6, 94.1, 22,68.5, 74, -.050, 293, +13.04, 1, 112.2, 1, 99.2,6,6
8, Duke, 3, ACC, 26-9, +24.22, 124.1, 1, 99.9, 87,65.9, 209, -.035, 255, +10.01, 16, 109.5, 27, 99.4,14,14
9, Michigan St., 4, B10, 29-9, +23.92, 118.0, 13, 94.1, 21,66.0, 203, -.003, 192, +11.19, 7, 110.1, 15, 99.0,4,4
10, Tennessee, 11, SEC, 24-13, +23.67, 117.3, 15, 93.6, 20,63.2, 322, -.098, 341, +8.83, 39, 108.9, 47, 100.0,28,28
11, Villanova, 2, BE, 29-5, +23.63, 115.7, 21, 92.1, 12,67.8, 110, +.075, 30, +8.03, 55, 110.0, 19, 101.9,91,91
12, Michigan, 2, B10, 28-9, +23.44, 123.3, 3, 99.9, 88,62.9, 330, +.048, 74, +11.95, 3, 110.0, 17, 98.1,2,2
13, Kentucky, 8, SEC, 29-11, +22.57, 117.8, 14, 95.3, 32,65.7, 221, -.025, 238, +11.29, 6, 110.4, 9, 99.1,5,5
14, UCLA, 4, P12, 28-9, +22.52, 118.1, 11, 95.6, 37,69.9, 37, -.019, 223, +8.54, 45, 109.2, 39, 100.6,48,48
15, Connecticut, 7, Amer, 32-8, +22.11, 113.0, 39, 90.9, 10,65.2, 247, +.080, 22, +9.71, 26, 109.4, 31, 99.7,19,19
16, Pittsburgh, 9, ACC, 26-10, +21.88, 116.3, 18, 94.4, 24,63.4, 318, -.038, 263, +8.89, 37, 108.2, 63, 99.3,7,7
17, Creighton, 3, BE, 27-8, +21.69, 123.6, 2, 102.0, 125,65.2, 248, +.024, 127, +8.10, 52, 108.3, 59, 100.2,33,33
18, Syracuse, 3, ACC, 28-6, +21.59, 114.0, 29, 92.5, 13,61.1, 345, +.017, 143, +8.59, 43, 109.7, 23, 101.1,65,65
19, Ohio St., 6, B10, 25-10, +21.31, 108.6, 103, 87.3, 2,65.8, 216, -.043, 272, +9.42, 28, 109.6, 25, 100.1,31,31
20, Iowa St., 3, B12, 28-8, +21.05, 118.3, 10, 97.2, 55,71.7, 11, +.064, 42, +11.41, 5, 111.1, 3, 99.6,18,18
21, Oklahoma St., 9, B12, 21-13, +20.93, 115.4, 22, 94.4, 25,69.0, 57, -.109, 343, +9.87, 22, 109.8, 20, 100.0,24,24
22, Iowa, 11, B10, 20-13, +20.41, 119.6, 5, 99.2, 77,69.9, 36, -.116, 347, +9.22, 32, 108.6, 55, 99.4,8,8
23, San Diego St., 4, MWC, 31-5, +20.37, 109.8, 86, 89.4, 7,63.8, 300, +.068, 36, +5.20, 91, 107.6, 79, 102.4,98,98
24, Gonzaga, 8, WCC, 29-7, +20.14, 113.4, 34, 93.3, 18,67.0, 147, +.016, 145, +5.59, 86, 108.8, 48, 103.2,106,106
25, VCU, 5, A10, 26-9, +19.80, 108.6, 105, 88.8, 6,70.2, 31, -.058, 307, +6.20, 78, 107.4, 85, 101.2,70,70
26, Baylor, 6, B12, 26-12, +19.34, 118.3, 9, 98.9, 70,63.6, 313, +.012, 154, +11.55, 4, 111.2, 2, 99.6,17,17
27, Cincinnati, 5, Amer, 27-7, +19.24, 109.0, 98, 89.8, 9,63.0, 327, +.036, 98, +6.11, 80, 107.6, 76, 101.5,82,82
28, Oregon, 7, P12, 24-10, +19.00, 118.3, 8, 99.3, 79,69.7, 40, -.037, 261, +8.67, 42, 109.4, 30, 100.7,58,58
29, North Carolina, 6, ACC, 24-10, +18.44, 112.1, 48, 93.6, 19,70.9, 19, +.001, 186, +9.88, 21, 110.6, 8, 100.7,56,56
30, Oklahoma, 5, B12, 23-10, +17.85, 117.3, 16, 99.4, 82,71.1, 17, -.022, 232, +10.08, 14, 110.2, 11, 100.1,29,29
32, Harvard, 12, Ivy, 27-5, +17.58, 112.2, 46, 94.7, 27,65.4, 237, +.020, 131, -0.41, 150, 103.8, 177, 104.2,135,135
33, New Mexico, 7, MWC, 27-7, +17.17, 112.9, 41, 95.7, 39,66.0, 200, +.033, 105, +5.46, 89, 107.6, 81, 102.1,96,96
34, Stanford, 10, P12, 23-13, +16.04, 111.8, 53, 95.8, 40,67.0, 146, +.016, 144, +10.08, 13, 110.1, 16, 100.0,25,25
35, Saint Louis, 5, A10, 27-7, +15.71, 105.2, 168, 89.5, 8,67.4, 123, +.040, 89, +5.55, 87, 107.1, 96, 101.5,81,81
36, Memphis, 8, Amer, 24-10, +15.21, 111.8, 55, 96.5, 50,69.3, 51, +.048, 72, +8.08, 53, 108.3, 60, 100.2,35,35
39, Arizona St., 10, P12, 21-12, +14.85, 110.6, 66, 95.8, 41,68.9, 59, +.003, 178, +8.37, 47, 108.6, 54, 100.3,39,39
41, Texas, 7, B12, 24-11, +14.51, 111.2, 61, 96.7, 53,68.6, 72, +.093, 14, +10.55, 8, 111.0, 4, 100.4,44,44
42, Dayton, 11, A10, 26-11, +14.24, 113.2, 36, 99.0, 72,65.5, 231, +.038, 93, +6.91, 66, 107.6, 80, 100.7,55,55
45, Kansas St., 9, B12, 20-13, +14.06, 107.2, 128, 93.1, 15,65.5, 235, +.002, 184, +9.71, 27, 110.8, 5, 101.1,69,69
47, Providence, 11, BE, 23-12, +13.79, 113.9, 30, 100.2, 94,64.9, 259, +.052, 69, +8.82, 40, 109.0, 45, 100.2,32,32
48, BYU, 10, WCC, 23-12, +13.77, 113.9, 31, 100.1, 93,72.8, 5, -.003, 193, +6.58, 69, 109.2, 40, 102.6,101,101
49, George Washington, 9, A10, 24-9, +13.76, 110.2, 74, 96.5, 48,67.6, 117, +.057, 58, +5.99, 82, 107.1, 94, 101.1,68,68
50, Massachusetts, 6, A10, 24-9, +13.44, 109.4, 91, 95.9, 43,71.8, 10, +.065, 39, +7.47, 60, 107.6, 78, 100.1,30,30
54, Xavier, 12, BE, 21-13, +13.08, 112.2, 47, 99.1, 76,65.9, 205, +.018, 137, +8.95, 35, 109.2, 37, 100.3,41,41
55, Saint Joseph's, 10, A10, 24-10, +12.91, 111.7, 58, 98.8, 68,66.0, 198, +.079, 25, +6.67, 68, 107.3, 88, 100.6,52,52
56, Nebraska, 11, B10, 19-13, +12.65, 108.2, 112, 95.5, 35,65.9, 207, +.047, 76, +10.00, 17, 108.3, 61, 98.3,3,3
61, North Dakota St., 12, Sum, 26-7, +11.75, 114.9, 24, 103.1, 145,64.1, 292, +.089, 16, +0.33, 137, 105.8, 112, 105.5,194,194
62, North Carolina St., 12, ACC, 22-14, +11.57, 113.4, 35, 101.8, 120,65.8, 215, +.065, 37, +8.92, 36, 108.6, 56, 99.7,20,20
67, Colorado, 8, P12, 23-12, +11.21, 107.0, 129, 95.8, 42,66.7, 161, +.120, 3, +9.78, 23, 109.6, 24, 99.8,21,21
69, Stephen F. Austin, 12, Slnd, 32-3, +10.85, 111.7, 57, 100.9, 105,63.8, 299, +.073, 33, -7.82, 313, 101.3, 303, 109.1,316,316
72, New Mexico St., 13, WAC, 26-10, +10.57, 112.3, 45, 101.7, 116,66.9, 149, -.029, 246, -3.78, 227, 102.5, 248, 106.3,225,225
