EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Louisville, 1, BE, 35-5, +32.90, 116.0, 7, 83.1, 1,66.8, 133, -.016, 229, +10.43, 11, 106.1, 15, 95.7,7,7
2, Florida, 3, SEC, 29-8, +31.18, 115.5, 9, 84.3, 3,63.4, 285, -.089, 332, +7.39, 49, 104.5, 66, 97.2,40,40
3, Indiana, 1, B10, 29-7, +29.28, 119.0, 2, 89.8, 21,67.1, 123, -.021, 238, +10.24, 13, 106.1, 16, 95.8,10,10
4, Michigan, 4, B10, 31-8, +27.80, 120.2, 1, 92.4, 39,65.1, 218, -.006, 196, +11.39, 7, 107.1, 8, 95.7,8,8
5, Gonzaga, 1, WCC, 32-3, +27.79, 118.6, 3, 90.9, 30,64.5, 239, +.026, 115, +5.03, 92, 104.4, 74, 99.4,102,102
6, Duke, 2, ACC, 30-6, +26.95, 117.3, 4, 90.4, 26,68.2, 72, +.033, 95, +10.85, 9, 107.6, 4, 96.7,26,26
7, Ohio St., 2, B10, 29-8, +25.40, 113.4, 14, 88.0, 10,64.6, 238, +.020, 133, +11.28, 8, 106.6, 9, 95.3,3,3
8, Kansas, 1, B12, 31-6, +25.17, 110.9, 27, 85.7, 5,67.7, 90, +.010, 151, +8.71, 22, 106.4, 12, 97.7,55,55
9, Syracuse, 4, BE, 30-10, +24.78, 111.4, 25, 86.7, 7,64.4, 248, -.003, 188, +10.44, 10, 106.0, 19, 95.5,4,4
10, Michigan St., 3, B10, 27-9, +24.14, 110.8, 28, 86.7, 6,64.5, 241, +.001, 172, +12.79, 1, 107.9, 2, 95.1,2,2
11, Pittsburgh, 8, BE, 24-9, +24.13, 113.8, 12, 89.7, 19,61.0, 335, -.058, 304, +6.43, 66, 104.6, 63, 98.1,70,70
12, Wisconsin, 5, B10, 23-12, +22.51, 106.4, 73, 83.9, 2,61.9, 319, -.033, 266, +12.06, 3, 108.0, 1, 95.9,13,13
13, Miami FL, 2, ACC, 29-7, +22.36, 111.9, 21, 89.5, 18,63.8, 274, +.029, 107, +8.57, 28, 106.5, 10, 97.9,63,63
14, Arizona, 6, P12, 27-8, +21.86, 113.5, 13, 91.7, 31,66.7, 141, -.011, 214, +8.69, 23, 105.5, 27, 96.8,29,29
15, Creighton, 7, MVC, 28-8, +21.70, 116.4, 5, 94.7, 69,65.2, 213, -.009, 206, +6.34, 70, 104.5, 70, 98.1,68,68
16, Georgetown, 2, BE, 25-7, +21.20, 105.8, 80, 84.6, 4,62.5, 305, +.039, 80, +8.53, 30, 105.6, 24, 97.1,35,35
17, Wichita St., 9, MVC, 30-9, +20.27, 110.0, 34, 89.8, 20,65.3, 201, -.002, 184, +7.26, 51, 105.8, 22, 98.6,80,80
18, VCU, 5, A10, 27-9, +20.23, 112.2, 20, 91.9, 36,67.8, 87, +.002, 169, +6.08, 74, 105.0, 50, 98.9,94,94
19, Saint Louis, 4, A10, 28-7, +19.99, 106.8, 71, 86.8, 8,65.2, 212, +.000, 176, +5.39, 87, 103.9, 93, 98.5,79,79
20, Minnesota, 11, B10, 21-13, +19.82, 112.9, 16, 93.1, 45,63.6, 278, -.036, 273, +12.08, 2, 107.6, 3, 95.5,5,5
21, Saint Mary's, 11, WCC, 28-7, +19.31, 114.3, 11, 95.0, 74,64.2, 258, +.024, 122, +3.86, 107, 103.9, 95, 100.0,112,112
22, Colorado St., 8, MWC, 26-9, +19.10, 116.2, 6, 97.1, 104,64.9, 227, +.020, 132, +7.41, 47, 104.6, 64, 97.1,38,38
23, New Mexico, 3, MWC, 29-6, +19.00, 108.0, 53, 89.0, 16,65.1, 219, +.074, 27, +8.51, 31, 105.4, 36, 96.8,31,31
24, Oklahoma St., 5, B12, 24-9, +18.66, 107.2, 67, 88.5, 13,67.4, 109, -.016, 228, +7.36, 50, 106.0, 18, 98.6,82,82
25, Missouri, 9, SEC, 23-11, +18.54, 113.2, 15, 94.6, 63,68.2, 75, -.032, 262, +6.48, 64, 104.2, 78, 97.8,58,58
26, Marquette, 3, BE, 26-9, +18.29, 111.5, 24, 93.2, 46,63.9, 272, +.090, 10, +9.99, 14, 104.9, 52, 95.0,1,1
27, Kansas St., 4, B12, 27-8, +18.13, 111.7, 23, 93.6, 52,63.0, 296, +.051, 50, +7.58, 45, 105.2, 41, 97.6,53,53
30, Iowa St., 10, B12, 23-12, +17.58, 115.7, 8, 98.1, 126,69.8, 25, -.046, 288, +7.41, 48, 104.5, 67, 97.1,37,37
31, San Diego St., 7, MWC, 23-11, +17.40, 105.9, 78, 88.5, 14,66.8, 136, -.049, 292, +8.06, 36, 105.5, 29, 97.4,47,47
32, North Carolina, 8, ACC, 25-11, +17.13, 110.4, 31, 93.3, 48,70.9, 11, +.038, 83, +8.95, 21, 105.5, 28, 96.6,24,24
33, Mississippi, 12, SEC, 27-9, +16.95, 110.5, 30, 93.6, 51,70.1, 21, -.011, 213, +3.65, 108, 102.4, 123, 98.7,86,86
34, North Carolina St., 8, ACC, 24-11, +16.95, 115.0, 10, 98.0, 123,68.4, 65, -.031, 258, +7.54, 46, 105.2, 39, 97.7,57,57
35, Oregon, 12, P12, 28-9, +16.75, 104.9, 103, 88.1, 11,68.9, 50, +.053, 46, +6.75, 60, 104.2, 82, 97.4,46,46
36, Notre Dame, 7, BE, 25-10, +16.62, 112.7, 17, 96.1, 86,62.2, 315, +.046, 58, +8.19, 34, 104.6, 60, 96.4,22,22
37, Memphis, 6, CUSA, 31-5, +16.29, 105.6, 84, 89.3, 17,69.6, 31, +.057, 40, +2.80, 116, 103.9, 90, 101.1,142,142
38, UNLV, 5, MWC, 25-10, +16.04, 104.2, 115, 88.2, 12,69.1, 45, -.015, 225, +7.64, 42, 105.5, 26, 97.9,62,62
39, Illinois, 7, B10, 23-13, +15.78, 108.7, 47, 92.9, 44,65.7, 193, +.042, 69, +11.62, 4, 107.2, 7, 95.6,6,6
40, Cincinnati, 10, BE, 22-12, +15.60, 104.1, 116, 88.5, 15,63.9, 271, -.012, 215, +8.69, 24, 105.0, 49, 96.3,19,19
42, Butler, 6, A10, 27-9, +15.38, 108.7, 46, 93.4, 49,65.0, 220, +.088, 13, +7.74, 41, 105.6, 25, 97.8,61,61
43, Belmont, 11, OVC, 26-7, +14.92, 109.7, 37, 94.8, 71,67.5, 101, +.013, 144, -0.67, 151, 102.5, 121, 103.2,235,235
44, Middle Tennessee, 11, SB, 28-6, +14.72, 105.3, 91, 90.6, 28,65.1, 217, +.052, 48, -2.26, 185, 99.4, 234, 101.7,158,158
45, Colorado, 10, P12, 21-12, +14.57, 104.7, 109, 90.1, 23,65.2, 208, +.030, 104, +9.51, 17, 106.2, 13, 96.7,25,25
46, UCLA, 6, P12, 25-10, +14.49, 109.2, 42, 94.7, 68,69.4, 35, +.068, 31, +9.24, 19, 105.2, 40, 96.0,15,15
50, La Salle, 13, A10, 24-10, +13.83, 110.0, 35, 96.2, 87,66.2, 169, +.052, 49, +5.61, 84, 104.5, 73, 98.8,90,90
51, Oklahoma, 10, B12, 20-12, +13.77, 109.3, 41, 95.5, 80,66.6, 147, +.004, 165, +8.11, 35, 105.3, 38, 97.2,42,42
53, Villanova, 9, BE, 20-14, +13.57, 104.4, 113, 90.8, 29,67.5, 103, +.011, 149, +9.56, 16, 105.3, 37, 95.7,9,9
54, Boise St., 13, MWC, 21-11, +13.51, 111.3, 26, 97.8, 119,66.3, 164, +.005, 163, +7.02, 57, 104.8, 57, 97.8,59,59
56, California, 12, P12, 21-12, +13.06, 105.4, 88, 92.3, 38,66.4, 159, +.041, 73, +9.11, 20, 105.1, 46, 95.9,14,14
58, Bucknell, 11, Pat, 28-6, +12.71, 105.4, 87, 92.7, 43,63.3, 289, -.014, 220, -1.87, 176, 101.0, 159, 102.8,212,212
59, Temple, 9, A10, 24-10, +12.67, 109.5, 39, 96.8, 102,67.6, 97, +.038, 84, +6.06, 75, 104.7, 58, 98.7,84,84
62, Akron, 12, MAC, 26-7, +11.53, 104.9, 100, 93.4, 50,66.8, 135, +.085, 16, +0.38, 136, 101.5, 141, 101.1,137,137
65, Valparaiso, 14, Horz, 26-8, +11.40, 108.8, 45, 97.4, 111,65.6, 195, +.021, 127, -1.18, 163, 100.3, 188, 101.5,150,150
66, Davidson, 14, SC, 26-8, +11.38, 110.2, 32, 98.9, 136,64.8, 228, -.002, 185, -5.35, 269, 98.9, 258, 104.2,272,272
88, New Mexico St., 13, WAC, 24-11, +7.72, 102.9, 137, 95.2, 77,65.1, 215, +.040, 77, +0.44, 133, 101.4, 145, 101.0,129,129
89, Iona, 15, MAAC, 20-14, +7.46, 112.5, 18, 105.0, 256,70.6, 14, -.070, 317, +0.54, 132, 100.8, 164, 100.3,116,116
93, Harvard, 14, Ivy, 20-10, +7.09, 106.3, 74, 99.3, 140,64.4, 246, +.038, 86, +0.43, 134, 101.4, 146, 100.9,128,128
96, South Dakota St., 13, Sum, 25-10, +6.81, 110.1, 33, 103.3, 223,63.9, 269, +.030, 103, -3.83, 229, 100.4, 185, 104.2,275,275
105, Florida Gulf Coast, 15, ASun, 26-11, +6.25, 103.1, 135, 96.8, 100,69.2, 40, +.039, 78, -3.13, 208, 99.8, 215, 102.9,215,215
127, Pacific, 15, BW, 22-13, +3.96, 104.4, 114, 100.4, 161,63.5, 282, +.074, 26, +0.93, 125, 102.9, 116, 102.0,176,176
138, Northwestern St., 14, Slnd, 23-9, +2.87, 104.9, 102, 102.0, 198,72.7, 1, +.075, 25, -4.61, 246, 97.8, 308, 102.4,195,195
145, Montana, 13, BSky, 25-7, +2.18, 103.2, 131, 101.0, 175,64.1, 263, +.176, 1, -5.33, 268, 100.5, 178, 105.8,337,337
150, Albany, 15, AE, 24-11, +1.35, 100.7, 172, 99.4, 144,63.0, 297, +.082, 18, -5.05, 262, 97.3, 317, 102.4,192,192
162, Southern, 16, SWAC, 23-10, +0.50, 97.4, 230, 96.9, 103,64.8, 229, -.030, 257, -12.81, 345, 93.2, 347, 106.1,341,341
173, Western Kentucky, 16, SB, 20-16, -0.41, 99.9, 185, 100.3, 158,66.3, 161, +.030, 105, -2.40, 187, 99.6, 227, 101.9,172,172
182, James Madison, 16, CAA, 21-15, -0.91, 98.4, 216, 99.3, 142,64.5, 242, +.063, 34, -3.35, 218, 100.6, 175, 103.9,262,262
192, LIU Brooklyn, 16, NEC, 20-14, -2.12, 108.6, 48, 110.7, 327,68.9, 51, +.016, 140, -6.37, 291, 98.1, 291, 104.5,292,292
227, North Carolina A&T, 16, MEAC, 20-17, -5.28, 91.4, 309, 96.7, 97,66.6, 142, +.037, 90, -7.93, 322, 95.4, 330, 103.4,242,242
267, Liberty, 16, BSth, 15-21, -9.40, 99.5, 195, 108.9, 313,65.9, 184, -.035, 271, -6.82, 305, 97.9, 305, 104.7,299,299
