EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, North Carolina, 1, ACC, 33-4, +32.17, 118.7, 2, 86.5, 7,76.1, 8, +.011, 134, +11.38, 5, 105.3, 11, 93.9,4,4
2, Illinois, 1, B10, 37-2, +31.99, 118.6, 3, 86.6, 8,66.4, 266, -.007, 179, +8.05, 38, 103.8, 42, 95.8,33,33
3, Duke, 1, ACC, 27-6, +26.79, 111.8, 14, 85.0, 2,71.1, 83, -.002, 168, +11.44, 4, 106.4, 1, 95.0,18,18
4, Louisville, 4, CUSA, 33-5, +25.23, 114.9, 8, 89.7, 20,69.3, 142, +.046, 65, +7.24, 57, 103.3, 64, 96.1,45,45
5, Michigan St., 5, B10, 26-7, +25.22, 116.1, 6, 90.8, 32,69.0, 159, -.012, 192, +8.33, 33, 104.0, 39, 95.6,28,28
6, Oklahoma St., 2, B12, 26-7, +24.47, 117.4, 4, 92.9, 55,68.8, 176, -.015, 204, +10.05, 16, 104.9, 18, 94.8,16,16
7, Wake Forest, 2, ACC, 27-6, +24.35, 120.2, 1, 95.9, 96,71.7, 63, +.046, 66, +10.94, 7, 105.0, 16, 94.1,5,5
8, Villanova, 5, BE, 24-8, +24.28, 110.2, 23, 85.9, 4,69.7, 126, -.054, 284, +10.07, 15, 104.8, 19, 94.8,12,12
9, Kentucky, 2, SEC, 28-6, +23.65, 109.6, 27, 85.9, 3,68.6, 181, +.031, 96, +9.34, 20, 105.0, 17, 95.6,30,30
10, Florida, 4, SEC, 24-8, +23.31, 111.9, 13, 88.6, 16,68.3, 192, -.027, 239, +8.06, 37, 103.8, 41, 95.8,32,32
11, Kansas, 3, B12, 23-7, +22.61, 111.9, 12, 89.3, 19,68.9, 170, +.009, 143, +11.69, 2, 105.4, 9, 93.7,2,2
12, Oklahoma, 3, B12, 25-8, +22.01, 110.6, 20, 88.5, 15,68.4, 188, -.005, 173, +8.35, 31, 104.5, 26, 96.1,49,49
13, Arizona, 3, P10, 30-7, +21.79, 112.6, 10, 90.8, 30,71.3, 78, +.027, 103, +8.50, 28, 104.8, 21, 96.3,50,50
14, Washington, 1, P10, 29-6, +21.78, 116.9, 5, 95.1, 82,74.2, 18, +.061, 43, +8.68, 26, 104.2, 32, 95.5,27,27
15, Connecticut, 2, BE, 23-8, +21.39, 107.5, 43, 86.2, 6,73.2, 30, -.031, 245, +9.23, 22, 105.4, 10, 96.1,48,48
16, Syracuse, 4, BE, 27-7, +20.44, 110.9, 16, 90.5, 25,69.1, 156, +.003, 153, +7.77, 44, 104.1, 36, 96.3,53,53
17, Wisconsin, 6, B10, 25-9, +20.41, 108.2, 36, 87.8, 11,65.2, 298, +.043, 70, +10.78, 9, 105.6, 8, 94.8,14,14
18, Alabama, 5, SEC, 24-8, +20.07, 114.5, 9, 94.4, 75,66.0, 280, +.033, 93, +7.32, 55, 103.4, 62, 96.1,46,46
19, Cincinnati, 7, CUSA, 25-8, +19.90, 108.0, 37, 88.1, 13,71.0, 85, -.005, 175, +6.71, 61, 103.4, 60, 96.7,65,65
20, Utah, 6, MWC, 29-6, +19.87, 109.2, 29, 89.3, 18,61.9, 324, +.033, 94, +4.30, 93, 103.0, 72, 98.7,115,115
21, Utah St., 14, BW, 24-8, +19.27, 112.0, 11, 92.8, 54,63.7, 309, -.094, 319, -1.72, 183, 98.6, 197, 100.3,185,185
22, Georgia Tech, 5, ACC, 20-12, +18.87, 104.9, 69, 86.1, 5,71.8, 58, -.037, 260, +11.31, 6, 105.8, 4, 94.5,8,8
23, North Carolina St., 10, ACC, 21-14, +18.48, 110.9, 17, 92.4, 49,66.8, 258, -.061, 294, +10.45, 10, 105.2, 12, 94.8,13,13
