EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
24, Gonzaga, 6, WCC, 28-4, +18.49, 113.4, 18, 94.9, 53,70.6, 130, +.049, 62, +0.68, 139, 102.0, 154, 101.3,135,135
25, Georgia, 3, SEC, 22-9, +18.47, 114.6, 10, 96.1, 73,70.4, 136, -.020, 206, +10.36, 16, 106.8, 33, 96.4,11,11
26, Mississippi St., 3, SEC, 27-8, +18.25, 109.3, 43, 91.0, 20,69.2, 183, +.107, 6, +8.98, 32, 105.2, 61, 96.2,8,8
28, Texas, 6, B12, 22-12, +17.64, 113.9, 15, 96.3, 75,70.0, 155, -.021, 207, +10.68, 14, 107.8, 13, 97.1,25,25
29, Missouri, 12, B12, 24-12, +17.43, 114.2, 12, 96.7, 83,71.4, 92, -.010, 189, +8.29, 45, 106.6, 37, 98.3,60,60
30, Wake Forest, 7, ACC, 21-13, +17.36, 116.5, 6, 99.1, 125,71.9, 72, +.007, 154, +11.65, 9, 107.8, 12, 96.2,7,7
31, Texas Tech, 6, B12, 23-9, +17.17, 112.4, 21, 95.3, 58,71.8, 75, +.062, 35, +7.69, 52, 105.8, 50, 98.1,52,52
32, Michigan St., 10, B10, 19-12, +16.85, 110.8, 35, 94.0, 38,65.2, 298, -.026, 219, +11.09, 11, 107.7, 16, 96.6,13,13
34, Mississippi, 9, SEC, 19-11, +16.67, 111.2, 32, 94.5, 48,66.4, 277, -.040, 253, +7.90, 49, 104.7, 78, 96.8,16,16
35, UCLA, 8, P10, 21-12, +16.30, 111.6, 27, 95.3, 59,69.7, 166, +.049, 61, +12.69, 4, 108.9, 6, 96.3,9,9
37, California, 6, P10, 23-9, +16.01, 107.7, 66, 91.7, 25,68.3, 219, +.089, 11, +9.04, 31, 106.9, 28, 97.9,45,45
38, Miami FL, 5, BE, 24-8, +15.77, 108.3, 56, 92.5, 30,70.6, 129, +.017, 116, +6.57, 64, 103.9, 96, 97.4,28,28
39, Oklahoma St., 7, B12, 23-9, +15.74, 105.7, 88, 90.0, 13,67.9, 230, +.048, 64, +7.61, 53, 106.5, 39, 98.9,72,72
40, Charlotte, 9, CUSA, 18-12, +15.72, 112.1, 23, 96.4, 78,68.4, 217, -.007, 185, +9.36, 30, 105.9, 48, 96.5,12,12
41, Tulsa, 12, WAC, 26-7, +15.59, 114.0, 14, 98.4, 114,71.0, 112, +.001, 169, +2.52, 111, 102.4, 140, 99.8,94,94
44, Western Kentucky, 9, SB, 26-4, +14.50, 108.3, 55, 93.8, 34,69.0, 195, +.060, 39, -0.02, 155, 101.4, 174, 101.4,141,141
45, Utah, 12, MWC, 19-9, +14.11, 109.4, 42, 95.2, 57,63.6, 316, +.011, 139, +5.87, 72, 104.9, 66, 99.0,78,78
47, Valparaiso, 13, MCon, 24-8, +13.66, 109.2, 45, 95.6, 63,70.4, 143, -.031, 238, -1.81, 195, 101.3, 177, 103.1,215,215
49, Southern Illinois, 11, MVC, 28-8, +13.46, 107.1, 73, 93.6, 33,71.5, 88, +.035, 86, +1.64, 123, 103.4, 111, 101.8,155,155
50, Wisconsin, 8, B10, 19-13, +13.25, 108.6, 53, 95.3, 61,64.8, 303, +.049, 59, +10.36, 17, 107.3, 21, 97.0,20,20
51, Hawaii, 10, WAC, 26-6, +13.12, 108.1, 58, 95.0, 56,67.6, 245, +.007, 152, +0.66, 140, 102.0, 153, 101.3,137,137
58, Penn, 11, Ivy, 25-7, +12.18, 108.1, 59, 95.9, 69,66.8, 267, -.018, 199, -1.81, 194, 100.7, 199, 102.5,188,188
59, Creighton, 12, MVC, 23-9, +11.82, 109.3, 44, 97.5, 95,68.5, 214, +.029, 98, +1.64, 122, 103.4, 112, 101.8,153,153
62, Pepperdine, 10, WCC, 21-9, +11.70, 108.9, 49, 97.2, 90,74.0, 27, +.062, 34, +3.43, 104, 103.8, 101, 100.4,106,106
65, UNC Wilmington, 13, CAA, 23-10, +11.37, 105.4, 97, 94.0, 37,65.3, 296, -.002, 173, +0.52, 141, 101.5, 170, 101.0,124,124
67, Wyoming, 11, MWC, 21-9, +11.02, 105.7, 90, 94.6, 51,69.5, 173, +.032, 92, +3.59, 102, 104.0, 94, 100.5,108,108
71, Boston College, 11, BE, 20-12, +9.95, 107.2, 70, 97.3, 91,70.3, 145, +.040, 74, +7.14, 57, 104.1, 92, 97.0,21,21
74, San Diego St., 13, MWC, 20-12, +9.32, 104.8, 104, 95.5, 62,71.4, 93, +.055, 45, +5.60, 77, 105.2, 62, 99.6,87,87
76, St. John's, 9, BE, 20-12, +9.03, 100.6, 168, 91.6, 24,70.9, 116, +.089, 10, +7.23, 56, 105.4, 57, 98.1,51,51
77, UC Santa Barbara, 14, BW, 19-11, +8.90, 106.1, 80, 97.2, 89,64.8, 306, -.058, 283, +0.23, 146, 101.4, 172, 101.2,131,131
100, McNeese St., 14, Slnd, 20-9, +5.38, 101.1, 157, 95.7, 66,68.3, 220, +.023, 108, -5.14, 245, 97.8, 258, 102.9,207,207
116, Hampton, 15, MEAC, 25-7, +3.99, 107.8, 64, 103.8, 227,70.4, 138, +.014, 133, -9.67, 299, 96.3, 290, 105.9,297,297
118, Illinois Chicago, 15, Horz, 18-14, +3.88, 106.9, 74, 103.0, 211,69.2, 180, +.040, 73, +1.50, 126, 102.3, 142, 100.8,120,120
119, Davidson, 13, SC, 18-10, +3.66, 99.4, 187, 95.7, 67,67.5, 246, +.143, 1, +1.14, 131, 102.4, 138, 101.3,133,133
147, Murray St., 14, OVC, 17-13, +1.37, 104.7, 105, 103.4, 215,71.0, 113, +.018, 115, -1.76, 193, 101.6, 167, 103.4,222,222
150, Central Connecticut, 14, NEC, 27-5, +0.90, 98.5, 202, 97.6, 96,66.2, 280, +.138, 2, -11.29, 312, 96.2, 293, 107.5,319,319
162, Holy Cross, 16, Pat, 18-15, -0.30, 96.0, 244, 96.3, 74,64.3, 307, -.048, 268, -6.54, 262, 97.9, 256, 104.4,253,253
173, Siena, 16, MAAC, 17-19, -1.20, 98.6, 201, 99.8, 140,68.9, 200, -.070, 296, -3.90, 229, 98.7, 240, 102.6,192,192
191, Florida Atlantic, 15, ASun, 18-12, -2.48, 97.5, 218, 100.0, 144,71.6, 84, +.061, 37, -5.12, 244, 100.3, 214, 105.4,288,288
194, Boston University, 16, AE, 22-10, -2.79, 99.1, 194, 101.9, 188,65.9, 288, +.102, 7, -9.64, 298, 95.7, 306, 105.3,283,283
210, Montana, 15, BSky, 14-15, -4.49, 100.3, 173, 104.8, 240,70.4, 141, +.053, 51, -2.12, 203, 101.6, 168, 103.7,229,229
220, Winthrop, 16, BSth, 17-12, -5.33, 95.2, 257, 100.5, 157,68.0, 227, +.039, 78, -10.81, 309, 95.4, 312, 106.2,301,301
252, Alcorn St., 16, SWAC, 20-10, -8.69, 98.1, 207, 106.8, 269,74.2, 25, +.097, 8, -15.24, 326, 93.2, 326, 108.4,325,325
