EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Duke, 1, ACC, 31-4, +34.14, 118.9, 1, 84.7, 1,75.9, 9, -.027, 223, +10.09, 20, 107.8, 15, 97.7,39,39
2, Cincinnati, 1, CUSA, 31-4, +30.15, 116.0, 7, 85.9, 2,68.6, 209, +.002, 165, +7.45, 54, 105.2, 60, 97.8,42,42
3, Maryland, 1, ACC, 32-4, +29.24, 117.2, 3, 88.0, 7,74.7, 19, +.025, 104, +10.32, 18, 107.9, 11, 97.6,35,35
4, Kansas, 1, B12, 31-4, +28.95, 116.7, 5, 87.8, 6,78.4, 3, +.023, 109, +10.75, 13, 108.8, 7, 98.1,49,49
5, Oklahoma, 2, B12, 31-5, +26.02, 113.0, 20, 87.0, 4,68.2, 224, +.044, 67, +9.39, 29, 107.8, 14, 98.4,61,61
6, Indiana, 5, B10, 25-12, +24.80, 112.0, 25, 87.2, 5,66.8, 269, -.049, 269, +13.66, 3, 109.0, 5, 95.4,4,4
7, Florida, 5, SEC, 22-9, +24.75, 113.0, 19, 88.3, 8,70.9, 120, -.072, 299, +10.06, 21, 107.0, 27, 97.0,22,22
8, Illinois, 4, B10, 26-9, +23.19, 113.6, 17, 90.4, 16,70.4, 135, +.016, 120, +11.07, 12, 108.5, 9, 97.4,31,31
9, Oregon, 2, P10, 25-9, +22.93, 117.2, 4, 94.3, 41,73.2, 48, -.041, 254, +8.62, 36, 106.8, 35, 98.1,53,53
10, Kentucky, 4, SEC, 21-10, +22.21, 111.4, 29, 89.2, 10,69.8, 162, -.028, 230, +13.79, 2, 109.0, 4, 95.3,3,3
11, Marquette, 5, CUSA, 26-7, +21.42, 111.3, 31, 89.8, 12,66.4, 276, +.007, 153, +5.99, 69, 104.3, 85, 98.3,58,58
12, USC, 4, P10, 22-10, +20.66, 110.7, 36, 90.0, 14,71.8, 77, -.051, 275, +9.66, 24, 107.9, 10, 98.2,56,56
13, Arizona, 3, P10, 24-10, +20.52, 117.2, 2, 96.7, 82,73.0, 53, +.080, 15, +14.48, 1, 109.9, 1, 95.4,5,5
14, Kent St., 10, MAC, 29-6, +20.42, 114.8, 8, 94.3, 44,66.0, 286, +.008, 150, +2.71, 110, 104.3, 84, 101.6,149,149
15, Stanford, 8, P10, 20-10, +20.30, 114.6, 9, 94.3, 42,71.4, 96, -.020, 204, +10.55, 15, 108.7, 8, 98.2,54,54
16, Pittsburgh, 3, BE, 29-6, +19.94, 110.1, 39, 90.2, 15,65.5, 293, +.001, 171, +4.76, 88, 103.0, 123, 98.2,57,57
17, Ohio St., 4, B10, 24-8, +19.77, 114.4, 11, 94.6, 50,67.6, 244, +.005, 159, +8.55, 38, 105.6, 53, 97.1,24,24
18, Connecticut, 2, BE, 27-7, +19.33, 110.3, 38, 91.0, 19,70.8, 121, +.063, 29, +8.55, 39, 105.9, 47, 97.4,30,30
19, Notre Dame, 8, BE, 21-11, +19.24, 114.0, 13, 94.8, 52,70.2, 149, -.086, 307, +7.02, 61, 103.7, 107, 96.7,15,15
21, North Carolina St., 7, ACC, 23-11, +19.13, 111.1, 33, 92.0, 26,69.1, 192, +.012, 135, +8.95, 33, 107.5, 17, 98.5,66,66
22, Alabama, 2, SEC, 27-8, +18.73, 111.9, 26, 93.2, 32,69.1, 187, +.076, 20, +9.90, 22, 106.3, 41, 96.4,10,10
23, Xavier, 7, A10, 26-6, +18.59, 109.1, 48, 90.5, 17,67.7, 241, +.052, 54, +5.05, 86, 105.1, 63, 100.1,100,100
