EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Kentucky, 1, SEC, 38-2, +32.55, 119.6, 2, 87.1, 8,67.2, 147, +.033, 84, +8.70, 27, 105.4, 36, 96.7,17,17
2, Ohio St., 2, B10, 31-8, +30.04, 115.5, 6, 85.5, 4,67.8, 120, -.049, 282, +11.20, 2, 107.7, 2, 96.5,9,9
3, Michigan St., 1, B10, 29-8, +27.81, 112.1, 16, 84.2, 2,65.8, 225, -.027, 243, +11.15, 4, 107.3, 5, 96.1,4,4
4, Kansas, 2, B12, 32-7, +26.87, 111.4, 23, 84.6, 3,68.2, 104, +.028, 98, +11.51, 1, 107.1, 7, 95.6,1,1
5, Syracuse, 1, BE, 34-3, +26.04, 115.1, 7, 89.1, 16,65.9, 221, +.061, 36, +9.27, 18, 105.9, 27, 96.6,12,12
6, North Carolina, 1, ACC, 32-6, +25.44, 113.4, 11, 88.0, 11,72.6, 10, +.017, 131, +8.37, 31, 105.9, 26, 97.5,39,39
7, Missouri, 2, B12, 30-5, +25.28, 122.4, 1, 97.1, 112,67.1, 156, +.017, 127, +6.74, 50, 104.4, 53, 97.6,41,41
8, Wisconsin, 4, B10, 26-10, +24.03, 111.1, 25, 87.1, 7,59.7, 345, -.017, 214, +9.76, 8, 106.3, 14, 96.6,11,11
9, Indiana, 4, B10, 27-9, +22.53, 117.5, 4, 95.0, 74,68.0, 112, +.007, 153, +9.47, 13, 106.1, 16, 96.7,14,14
10, Florida, 7, SEC, 26-11, +22.47, 117.8, 3, 95.3, 81,65.8, 226, -.044, 269, +8.30, 32, 104.2, 57, 95.9,2,2
11, Wichita St., 5, MVC, 27-6, +22.36, 113.4, 10, 91.1, 26,67.4, 139, -.016, 209, +4.58, 78, 103.7, 72, 99.1,88,88
12, Memphis, 8, CUSA, 26-9, +21.88, 111.4, 22, 89.6, 17,68.7, 77, -.063, 306, +6.59, 51, 103.9, 67, 97.3,33,33
13, Baylor, 3, B12, 30-8, +21.25, 113.4, 12, 92.1, 37,67.6, 128, +.058, 41, +10.02, 7, 106.6, 11, 96.5,10,10
14, Saint Louis, 9, A10, 26-8, +21.24, 109.3, 34, 88.0, 12,64.2, 286, -.055, 296, +4.95, 72, 103.5, 75, 98.5,71,71
15, Georgetown, 3, BE, 24-9, +21.04, 108.5, 43, 87.5, 9,64.1, 294, -.014, 204, +9.26, 19, 106.0, 21, 96.7,18,18
16, Vanderbilt, 5, SEC, 25-11, +20.90, 112.9, 14, 92.0, 33,66.3, 198, -.048, 279, +9.48, 12, 106.5, 12, 97.0,23,23
17, Louisville, 4, BE, 30-10, +20.66, 103.6, 109, 83.0, 1,67.9, 116, +.031, 89, +11.18, 3, 107.4, 3, 96.2,7,7
18, Marquette, 3, BE, 27-8, +20.20, 108.8, 39, 88.6, 14,71.7, 17, +.042, 67, +8.90, 25, 105.1, 38, 96.2,6,6
19, Duke, 2, ACC, 27-7, +19.67, 114.9, 8, 95.2, 78,68.5, 92, +.058, 43, +9.37, 14, 106.1, 19, 96.7,16,16
20, New Mexico, 5, MWC, 28-7, +19.43, 108.2, 49, 88.7, 15,67.2, 148, +.003, 165, +3.02, 110, 102.3, 115, 99.3,97,97
