EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Kentucky, 1, SEC, 32-4, +28.50, 112.8, 6, 84.3, 4,70.4, 153, +.051, 53, +11.10, 8, 105.9, 3, 94.8,24,24
2, Kansas, 2, B12, 30-8, +28.09, 111.8, 13, 83.7, 3,75.0, 18, -.017, 208, +11.66, 3, 106.0, 2, 94.3,15,15
3, Pittsburgh, 2, BE, 28-5, +27.82, 110.7, 17, 82.9, 1,68.5, 239, -.022, 222, +7.43, 61, 102.9, 65, 95.5,51,51
4, Arizona, 1, P10, 28-4, +26.35, 112.3, 10, 85.9, 9,75.8, 10, -.006, 180, +8.95, 35, 104.6, 18, 95.7,61,61
5, Illinois, 4, B10, 25-7, +23.92, 109.8, 22, 85.8, 8,70.2, 161, -.029, 242, +7.84, 51, 103.3, 58, 95.4,50,50
6, Duke, 3, ACC, 26-7, +23.32, 111.9, 12, 88.6, 16,73.4, 47, -.030, 245, +9.76, 21, 105.0, 9, 95.2,40,40
7, Texas, 1, B12, 26-7, +23.09, 115.8, 3, 92.7, 57,72.3, 74, -.009, 187, +10.97, 9, 104.7, 15, 93.7,6,6
8, Syracuse, 3, BE, 30-5, +22.74, 111.1, 15, 88.4, 14,74.1, 34, +.083, 15, +10.47, 13, 104.0, 39, 93.5,5,5
9, Oklahoma, 1, B12, 27-7, +22.52, 108.5, 28, 85.9, 10,65.6, 302, +.034, 82, +10.20, 16, 104.6, 17, 94.4,16,16
10, Louisville, 4, CUSA, 25-7, +22.31, 112.6, 9, 90.3, 27,74.3, 23, -.028, 236, +7.69, 54, 103.1, 62, 95.4,48,48
11, Florida, 2, SEC, 25-8, +21.75, 112.7, 7, 90.9, 30,68.1, 255, +.009, 140, +8.77, 37, 103.5, 55, 94.7,23,23
12, Wisconsin, 5, B10, 24-8, +21.65, 110.8, 16, 89.2, 20,65.0, 309, -.024, 226, +7.32, 64, 103.7, 49, 96.4,73,73
13, Maryland, 6, ACC, 21-10, +21.63, 107.5, 35, 85.8, 7,74.2, 26, -.078, 302, +9.09, 31, 104.4, 28, 95.3,45,45
14, Mississippi St., 5, SEC, 21-10, +21.08, 104.2, 78, 83.1, 2,67.4, 275, -.060, 290, +9.27, 27, 104.3, 30, 95.1,33,33
15, Marquette, 3, CUSA, 27-6, +20.84, 116.5, 1, 95.6, 101,69.2, 204, +.070, 29, +8.48, 42, 103.7, 53, 95.2,43,43
17, Saint Joseph's, 7, A10, 23-7, +20.42, 105.5, 59, 85.1, 6,67.4, 274, -.050, 279, +4.37, 91, 102.3, 79, 98.0,98,98
18, Michigan St., 7, B10, 22-13, +19.89, 106.7, 44, 86.8, 12,67.0, 285, -.050, 278, +10.87, 10, 104.9, 10, 94.1,11,11
19, Notre Dame, 5, BE, 24-10, +19.84, 112.6, 8, 92.8, 61,73.0, 57, +.009, 138, +11.39, 5, 104.8, 12, 93.4,4,4
20, Xavier, 3, A10, 26-6, +19.54, 110.5, 18, 91.0, 32,70.7, 134, +.018, 121, +5.21, 81, 102.5, 75, 97.3,87,87
21, Wake Forest, 2, ACC, 25-6, +19.47, 111.4, 14, 91.9, 43,70.5, 150, +.073, 25, +8.39, 44, 103.5, 54, 95.2,39,39
22, Connecticut, 5, BE, 23-10, +19.04, 107.7, 32, 88.6, 17,74.6, 20, +.004, 154, +9.07, 32, 104.7, 13, 95.7,57,57
23, LSU, 8, SEC, 21-11, +17.83, 108.0, 30, 90.2, 25,69.8, 181, -.034, 260, +7.62, 59, 102.8, 66, 95.2,42,42
24, Oklahoma St., 6, B12, 22-10, +17.33, 102.3, 105, 84.9, 5,70.0, 172, +.003, 159, +9.78, 20, 104.0, 36, 94.3,13,13
25, BYU, 12, MWC, 23-9, +17.32, 105.8, 54, 88.5, 15,68.5, 242, -.031, 247, +5.88, 75, 104.9, 11, 99.1,121,121
26, Creighton, 6, MVC, 29-5, +17.25, 109.3, 24, 92.0, 44,71.2, 121, +.025, 97, +0.81, 141, 100.5, 138, 99.7,149,149
27, Purdue, 9, B10, 19-11, +17.21, 103.8, 86, 86.6, 11,71.9, 90, -.013, 197, +10.38, 14, 105.2, 6, 94.8,25,25
28, Missouri, 6, B12, 22-11, +17.03, 108.5, 27, 91.5, 36,69.9, 178, +.044, 67, +11.51, 4, 104.6, 20, 93.1,1,1
29, Memphis, 7, CUSA, 23-7, +16.42, 107.6, 34, 91.1, 34,71.5, 107, +.006, 145, +5.64, 78, 101.3, 117, 95.7,60,60
30, Arizona St., 10, P10, 20-12, +16.17, 110.4, 19, 94.2, 77,70.5, 145, -.014, 200, +9.31, 26, 104.0, 40, 94.7,21,21
31, Butler, 12, Horz, 27-6, +15.75, 112.2, 11, 96.4, 115,61.5, 324, +.073, 26, +3.22, 104, 101.3, 116, 98.1,101,101
33, Gonzaga, 9, WCC, 24-9, +15.30, 110.0, 20, 94.7, 83,70.0, 168, -.021, 217, +3.82, 100, 101.2, 121, 97.3,88,88
34, Colorado, 10, B12, 20-12, +15.10, 106.0, 51, 90.9, 31,72.9, 58, +.001, 162, +9.14, 29, 104.3, 32, 95.1,38,38
36, Cincinnati, 8, CUSA, 17-12, +14.43, 101.8, 116, 87.4, 13,69.1, 210, -.069, 299, +8.26, 46, 104.4, 27, 96.1,67,67
37, Stanford, 4, P10, 24-9, +14.39, 106.6, 45, 92.2, 48,69.3, 197, +.066, 36, +8.26, 47, 103.9, 43, 95.7,58,58
38, Alabama, 10, SEC, 17-12, +14.39, 106.2, 49, 91.8, 42,68.3, 246, -.016, 204, +10.49, 12, 104.5, 23, 94.0,9,9
39, UNC Wilmington, 11, CAA, 24-7, +14.35, 106.4, 48, 92.0, 45,67.5, 272, -.031, 249, -2.99, 213, 96.4, 255, 99.4,137,137
40, Dayton, 4, A10, 24-6, +14.29, 113.7, 5, 99.4, 175,66.5, 290, +.085, 14, +6.08, 74, 102.4, 77, 96.3,70,70
41, Indiana, 7, B10, 21-13, +14.29, 109.4, 23, 95.1, 91,67.2, 280, +.049, 59, +10.55, 11, 104.5, 24, 93.9,8,8
43, Oregon, 8, P10, 23-10, +13.91, 107.9, 31, 93.9, 71,75.0, 16, +.032, 84, +5.60, 79, 102.4, 78, 96.8,78,78
44, Utah, 9, MWC, 25-8, +13.78, 103.2, 95, 89.4, 23,64.5, 314, +.068, 34, +5.71, 77, 104.4, 29, 98.7,109,109
46, California, 8, P10, 22-9, +13.40, 106.2, 50, 92.8, 60,69.6, 186, +.062, 42, +7.33, 63, 104.1, 35, 96.7,76,76
47, Penn, 11, Ivy, 22-6, +13.37, 109.0, 25, 95.6, 102,65.4, 305, +.035, 80, -1.22, 174, 98.1, 206, 99.3,136,136
48, Auburn, 10, SEC, 22-12, +13.36, 104.7, 68, 91.3, 35,69.2, 203, +.051, 52, +9.55, 23, 104.0, 38, 94.4,18,18
50, North Carolina St., 9, ACC, 18-13, +12.97, 108.1, 29, 95.1, 90,67.8, 267, -.023, 225, +9.13, 30, 104.5, 22, 95.4,47,47
51, Tulsa, 13, WAC, 23-10, +12.75, 104.5, 72, 91.8, 40,70.4, 152, -.061, 291, +1.81, 122, 100.6, 135, 98.8,113,113
52, Milwaukee, 12, Horz, 23-8, +12.70, 105.4, 61, 92.7, 59,73.7, 39, +.025, 101, +1.69, 128, 101.8, 101, 100.1,166,166
55, Western Kentucky, 13, SB, 24-9, +11.55, 104.9, 64, 93.4, 66,70.1, 166, +.036, 76, +1.73, 124, 100.8, 130, 99.0,120,120
56, Southern Illinois, 11, MVC, 24-7, +11.49, 106.8, 41, 95.3, 96,70.8, 132, +.063, 41, +2.13, 115, 101.0, 127, 98.9,115,115
