EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Duke, 1, ACC, 31-6, +31.51, 115.9, 3, 84.4, 3,71.4, 84, -.028, 234, +12.99, 7, 106.1, 7, 93.1,4,4
2, Connecticut, 2, BE, 33-6, +27.62, 112.9, 10, 85.3, 5,71.6, 78, +.011, 139, +9.09, 20, 104.2, 31, 95.1,17,17
3, Saint Joseph's, 1, A10, 30-2, +27.04, 114.2, 5, 87.2, 12,69.4, 170, +.061, 41, +5.90, 67, 102.9, 62, 97.0,76,76
4, Oklahoma St., 2, B12, 31-4, +26.74, 113.8, 7, 87.0, 9,68.2, 208, +.030, 92, +8.01, 33, 104.3, 27, 96.3,47,47
5, Pittsburgh, 3, BE, 31-5, +25.27, 109.5, 19, 84.3, 2,62.9, 316, -.028, 233, +7.36, 40, 103.3, 51, 96.0,36,36
6, Wisconsin, 6, B10, 25-7, +25.10, 111.5, 14, 86.4, 8,63.7, 312, +.000, 172, +8.73, 26, 104.6, 19, 95.9,32,32
7, Gonzaga, 2, WCC, 28-3, +24.75, 116.2, 2, 91.4, 38,70.3, 130, +.013, 135, +3.47, 107, 101.9, 91, 98.5,121,121
8, Georgia Tech, 3, ACC, 28-10, +24.06, 109.1, 24, 85.1, 4,72.9, 40, +.008, 147, +13.24, 5, 106.9, 4, 93.7,6,6
9, North Carolina St., 3, ACC, 21-10, +23.33, 114.5, 4, 91.2, 35,66.4, 276, -.071, 297, +13.13, 6, 106.1, 6, 93.0,3,3
10, Kentucky, 1, SEC, 27-5, +22.83, 109.2, 23, 86.3, 7,69.5, 163, +.032, 88, +9.34, 17, 104.7, 18, 95.4,23,23
11, North Carolina, 6, ACC, 19-11, +22.69, 112.6, 11, 89.9, 23,74.3, 20, -.091, 311, +14.51, 2, 107.1, 3, 92.6,2,2
