EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
28, USC, 6, P10, 21-12, +18.19, 106.5, 62, 88.3, 13,68.0, 186, -.004, 182, +11.67, 2, 106.7, 2, 95.0,7,7
29, Indiana, 8, B10, 25-8, +17.96, 110.7, 26, 92.7, 51,69.0, 149, +.038, 83, +7.45, 59, 103.7, 67, 96.3,46,46
30, Purdue, 6, B10, 25-9, +17.87, 106.6, 59, 88.7, 18,69.5, 129, -.024, 233, +7.08, 63, 103.0, 85, 95.9,38,38
33, Mississippi St., 8, SEC, 23-11, +16.27, 103.6, 107, 87.3, 9,70.4, 102, -.042, 276, +6.82, 66, 105.0, 38, 98.2,91,91
35, BYU, 8, MWC, 27-8, +15.40, 103.4, 115, 88.0, 12,71.0, 80, +.027, 104, +1.81, 126, 101.1, 125, 99.3,134,134
36, Oregon, 9, P10, 18-14, +15.30, 114.9, 5, 99.6, 166,68.7, 157, -.034, 258, +10.63, 7, 105.7, 15, 95.1,8,8
38, Miami FL, 7, ACC, 23-11, +15.02, 108.2, 46, 93.2, 57,69.4, 136, -.003, 177, +8.18, 48, 103.5, 72, 95.4,17,17
40, Arkansas, 9, SEC, 23-12, +14.83, 107.8, 51, 93.0, 55,70.0, 115, +.009, 152, +8.00, 51, 105.4, 24, 97.4,74,74
41, Baylor, 11, B12, 21-11, +14.51, 111.4, 18, 96.9, 105,73.0, 32, -.028, 243, +8.23, 46, 103.9, 64, 95.7,24,24
42, Saint Mary's, 10, WCC, 25-7, +14.40, 105.6, 73, 91.2, 34,69.6, 127, +.030, 97, +0.68, 140, 100.2, 164, 99.5,142,142
43, Western Kentucky, 12, SB, 29-7, +14.36, 108.4, 45, 94.0, 66,70.9, 84, -.020, 219, -1.04, 169, 99.9, 173, 100.9,175,175
44, Oklahoma, 6, B12, 23-12, +14.16, 105.9, 69, 91.7, 39,65.8, 281, +.077, 23, +10.32, 9, 105.5, 19, 95.2,11,11
45, Saint Joseph's, 11, A10, 21-13, +14.01, 111.2, 19, 97.2, 115,67.0, 236, -.068, 318, +5.42, 81, 103.4, 74, 98.0,89,89
46, Villanova, 12, BE, 22-13, +13.84, 105.6, 72, 91.8, 41,71.0, 78, +.037, 85, +9.23, 34, 105.5, 23, 96.2,41,41
48, UNLV, 8, MWC, 27-8, +13.46, 106.0, 68, 92.5, 48,67.4, 217, +.081, 21, +4.53, 92, 101.8, 102, 97.3,67,67
55, Kent St., 9, MAC, 28-7, +12.73, 103.7, 104, 90.9, 33,67.9, 190, +.075, 25, +1.46, 131, 100.3, 157, 98.8,115,115
56, Vanderbilt, 4, SEC, 26-8, +12.32, 108.4, 44, 96.1, 92,71.9, 56, +.110, 4, +6.45, 71, 104.7, 45, 98.3,95,95
57, Temple, 12, A10, 21-13, +12.10, 108.8, 39, 96.7, 102,67.0, 234, -.019, 215, +6.16, 74, 104.1, 57, 97.9,87,87
65, South Alabama, 10, SB, 26-7, +11.50, 108.4, 43, 96.9, 104,68.3, 178, -.000, 166, -1.19, 173, 100.2, 160, 101.4,192,192
77, Oral Roberts, 13, Sum, 24-9, +10.10, 100.5, 162, 90.4, 29,66.8, 246, +.032, 95, +0.03, 151, 102.1, 99, 102.0,224,224
79, Kentucky, 11, SEC, 18-13, +9.74, 104.6, 85, 94.9, 77,65.6, 287, +.011, 146, +7.78, 54, 104.5, 50, 96.7,57,57
80, George Mason, 12, CAA, 23-11, +9.49, 106.8, 58, 97.3, 121,64.8, 300, -.009, 196, -0.13, 152, 99.6, 190, 99.7,143,143
89, Cal St. Fullerton, 14, BW, 24-9, +8.25, 108.1, 47, 99.8, 173,74.5, 15, -.009, 195, -3.94, 231, 98.5, 226, 102.4,236,236
91, Georgia, 14, SEC, 17-17, +7.89, 100.2, 167, 92.3, 46,68.0, 189, -.032, 252, +8.04, 50, 105.5, 22, 97.4,73,73
92, Siena, 13, MAAC, 23-11, +7.86, 104.8, 82, 96.9, 103,71.3, 74, +.036, 87, -0.85, 165, 101.0, 136, 101.8,211,211
104, Winthrop, 13, BSth, 22-12, +6.30, 95.5, 234, 89.2, 20,65.0, 296, -.001, 168, -1.28, 175, 101.6, 105, 102.9,260,260
112, Portland St., 16, BSky, 23-10, +5.25, 104.7, 84, 99.5, 163,69.3, 138, +.062, 40, -4.05, 232, 99.2, 205, 103.2,281,281
121, San Diego, 13, WCC, 22-14, +4.51, 97.5, 203, 93.0, 54,66.6, 253, +.046, 65, +1.82, 125, 101.2, 114, 99.4,139,139
124, Cornell, 14, Ivy, 22-6, +4.40, 106.4, 65, 102.0, 210,70.8, 92, +.087, 15, -6.86, 287, 95.7, 312, 102.6,246,246
126, Boise St., 14, WAC, 25-9, +3.78, 105.0, 80, 101.2, 196,73.7, 20, +.086, 16, -2.98, 213, 99.9, 175, 102.8,256,256
127, UMBC, 15, AE, 24-9, +3.78, 108.5, 42, 104.8, 269,67.0, 233, +.055, 47, -4.70, 242, 97.0, 279, 101.7,204,204
129, Belmont, 15, ASun, 25-9, +3.41, 105.5, 74, 102.1, 214,72.2, 48, +.075, 26, -5.18, 254, 97.6, 263, 102.8,254,254
150, American, 15, Pat, 21-12, +1.70, 103.4, 113, 101.7, 207,63.5, 322, +.045, 67, -4.28, 235, 96.5, 291, 100.8,168,168
167, Austin Peay, 15, OVC, 24-11, -0.28, 101.0, 148, 101.3, 197,68.8, 156, +.084, 17, -6.60, 283, 99.0, 210, 105.6,332,332
173, Mount St. Mary's, 16, NEC, 19-15, -1.29, 95.7, 232, 97.0, 109,69.6, 125, +.016, 128, -5.47, 260, 98.1, 245, 103.6,292,292
180, UT Arlington, 16, Slnd, 21-12, -2.19, 97.7, 199, 99.9, 175,71.9, 55, +.046, 64, -4.61, 240, 96.4, 293, 101.0,179,179
299, Coppin St., 16, MEAC, 16-21, -14.09, 88.7, 320, 102.8, 228,66.5, 258, +.064, 37, -8.24, 306, 94.2, 323, 102.5,240,240
306, Mississippi Valley St., 16, SWAC, 17-16, -14.87, 87.8, 323, 102.7, 227,66.8, 243, +.116, 2, -11.37, 326, 93.3, 331, 104.6,319,319
