EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Kansas, 1, B12, 37-3, +34.39, 116.7, 2, 82.3, 1,69.9, 122, +.012, 139, +9.71, 20, 106.0, 7, 96.3,47,47
2, Memphis, 1, CUSA, 38-2, +30.78, 114.0, 6, 83.2, 2,71.1, 76, +.012, 140, +6.57, 70, 104.0, 60, 97.4,72,72
3, North Carolina, 1, ACC, 36-3, +29.56, 118.2, 1, 88.6, 17,75.7, 9, +.050, 54, +10.27, 10, 104.8, 44, 94.5,3,3
4, UCLA, 1, P10, 35-4, +29.27, 113.9, 7, 84.6, 5,67.3, 220, +.047, 62, +10.87, 5, 106.4, 3, 95.5,22,22
5, Wisconsin, 3, B10, 31-5, +26.24, 109.8, 35, 83.6, 3,64.2, 309, +.043, 69, +8.15, 49, 104.0, 59, 95.9,33,33
6, Duke, 2, ACC, 28-6, +25.84, 112.2, 14, 86.4, 7,75.1, 11, -.006, 185, +10.51, 8, 106.0, 8, 95.5,20,20
7, Georgetown, 2, BE, 28-6, +24.96, 110.7, 25, 85.7, 6,63.8, 317, +.029, 99, +8.94, 40, 105.0, 36, 96.1,40,40
8, Louisville, 3, BE, 27-9, +24.90, 109.4, 37, 84.5, 4,68.4, 173, -.057, 299, +9.85, 17, 105.3, 29, 95.4,18,18
9, Texas, 2, B12, 31-7, +24.52, 116.2, 3, 91.7, 38,67.4, 216, +.046, 66, +10.93, 4, 105.4, 25, 94.4,2,2
10, Washington St., 4, P10, 26-9, +23.77, 111.1, 20, 87.4, 10,61.7, 334, -.003, 178, +8.98, 38, 105.7, 13, 96.7,59,59
11, Davidson, 10, SC, 29-7, +23.01, 112.8, 9, 89.8, 24,69.1, 140, -.036, 261, +2.38, 113, 101.3, 112, 98.9,118,118
12, Stanford, 3, P10, 28-8, +22.23, 109.2, 38, 86.9, 8,66.6, 257, +.039, 79, +9.41, 29, 105.9, 9, 96.5,52,52
13, Marquette, 6, BE, 25-10, +21.74, 110.7, 27, 88.9, 19,70.3, 106, -.027, 241, +9.25, 32, 104.9, 40, 95.6,23,23
14, Tennessee, 2, SEC, 31-5, +21.73, 112.4, 13, 90.6, 31,73.5, 22, +.110, 5, +9.73, 19, 106.1, 6, 96.3,48,48
15, Xavier, 3, A10, 30-7, +21.61, 113.4, 8, 91.8, 40,66.8, 245, +.054, 49, +7.51, 58, 105.1, 35, 97.6,80,80
16, Clemson, 5, ACC, 24-10, +21.61, 110.0, 31, 88.4, 14,71.9, 53, -.045, 283, +9.98, 14, 106.2, 5, 96.2,43,43
17, Drake, 5, MVC, 28-5, +20.86, 115.2, 4, 94.3, 71,66.4, 262, +.012, 141, +4.82, 89, 102.2, 97, 97.4,70,70
18, West Virginia, 7, BE, 26-11, +20.72, 110.1, 30, 89.3, 22,67.3, 221, -.017, 212, +9.33, 30, 105.2, 32, 95.9,36,36
19, Michigan St., 5, B10, 27-9, +20.54, 110.9, 24, 90.4, 28,66.8, 244, +.033, 94, +9.32, 31, 105.2, 33, 95.9,32,32
20, Butler, 7, Horz, 30-4, +19.56, 112.4, 12, 92.8, 52,62.7, 327, +.003, 161, +3.17, 101, 101.1, 127, 97.9,86,86
21, Texas A&M, 9, B12, 25-11, +19.53, 108.0, 49, 88.5, 15,65.6, 286, +.005, 158, +9.46, 27, 104.7, 46, 95.2,12,12
22, Pittsburgh, 4, BE, 27-10, +19.47, 111.8, 16, 92.4, 47,67.5, 213, +.028, 102, +9.69, 21, 104.5, 48, 94.8,5,5
23, Notre Dame, 5, BE, 25-8, +18.67, 110.9, 23, 92.3, 45,72.6, 42, +.043, 72, +7.94, 52, 104.5, 51, 96.5,55,55
24, Arizona, 10, P10, 19-15, +18.64, 112.5, 10, 93.9, 64,66.7, 251, -.077, 326, +12.94, 1, 107.0, 1, 94.1,1,1
25, Kansas St., 11, B12, 21-12, +18.54, 110.0, 33, 91.4, 37,72.9, 33, -.048, 288, +9.51, 25, 104.9, 39, 95.4,19,19
26, Gonzaga, 7, WCC, 25-8, +18.54, 109.9, 34, 91.4, 36,69.4, 137, -.030, 245, +3.17, 100, 101.1, 124, 97.9,88,88
27, Connecticut, 4, BE, 24-9, +18.41, 110.5, 28, 92.1, 44,71.0, 83, +.000, 165, +8.26, 44, 104.5, 47, 96.3,44,44
