EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, Villanova, 2, BE, 35-5, +32.01, 121.7, 3, 89.7, 5,67.2, 267, +.023, 114, +10.67, 21, 109.6, 29, 98.9,14,14
2, North Carolina, 1, ACC, 33-7, +29.80, 123.3, 1, 93.5, 21,70.5, 94, -.055, 305, +11.64, 11, 111.0, 7, 99.4,29,29
3, Virginia, 1, ACC, 29-8, +29.66, 119.5, 8, 89.9, 7,62.3, 351, -.040, 277, +13.15, 4, 111.6, 3, 98.5,7,7
4, Kansas, 1, B12, 33-5, +29.64, 119.0, 10, 89.3, 3,69.4, 146, +.044, 74, +13.31, 3, 111.0, 6, 97.7,4,4
5, Michigan St., 2, B10, 29-6, +27.93, 122.3, 2, 94.4, 28,67.2, 266, -.012, 209, +7.87, 59, 107.1, 75, 99.2,23,23
6, Kentucky, 4, SEC, 27-9, +25.12, 120.6, 5, 95.5, 39,68.2, 220, -.046, 287, +9.34, 42, 108.4, 54, 99.0,16,16
8, West Virginia, 3, B12, 26-9, +24.44, 114.2, 27, 89.8, 6,70.3, 102, +.004, 170, +11.60, 12, 110.3, 16, 98.7,9,9
9, Purdue, 5, B10, 26-9, +23.87, 115.8, 19, 92.0, 11,68.1, 223, -.046, 285, +8.61, 53, 109.0, 42, 100.3,61,61
10, Oklahoma, 2, B12, 29-8, +23.79, 116.8, 16, 93.0, 18,70.6, 93, +.082, 28, +13.34, 2, 111.0, 8, 97.6,3,3
11, Indiana, 5, B10, 27-8, +23.02, 120.6, 6, 97.6, 59,69.1, 164, +.000, 173, +7.49, 64, 108.6, 51, 101.1,80,80
12, Oregon, 1, P12, 31-7, +22.63, 117.9, 13, 95.3, 37,69.1, 165, +.041, 80, +9.74, 34, 108.6, 48, 98.9,12,12
13, Wichita St., 11, MVC, 26-9, +22.55, 110.2, 67, 87.6, 1,66.5, 301, -.079, 332, +3.90, 91, 104.2, 144, 100.3,60,60
14, Xavier, 2, BE, 28-6, +22.53, 116.1, 18, 93.5, 22,72.5, 35, +.047, 68, +8.79, 49, 107.7, 66, 99.0,15,15
15, Miami FL, 3, ACC, 27-8, +22.44, 118.3, 11, 95.9, 42,66.3, 306, +.077, 32, +12.55, 6, 111.3, 4, 98.7,10,10
17, Duke, 4, ACC, 25-11, +21.87, 120.8, 4, 98.9, 86,68.5, 201, -.026, 246, +12.55, 5, 111.9, 2, 99.3,27,27
18, Texas A&M, 3, SEC, 28-9, +21.27, 112.7, 37, 91.4, 9,68.1, 224, +.007, 161, +9.41, 39, 109.3, 36, 99.9,44,44
19, Arizona, 6, P12, 25-9, +20.95, 115.7, 20, 94.7, 29,69.5, 141, -.038, 272, +7.81, 61, 107.8, 65, 100.0,45,45
20, Iowa St., 4, B12, 23-12, +20.93, 120.1, 7, 99.2, 91,71.5, 61, -.062, 318, +12.54, 7, 109.7, 27, 97.2,2,2
21, Gonzaga, 11, WCC, 28-8, +20.84, 115.2, 22, 94.4, 27,68.1, 230, -.038, 274, +3.88, 92, 106.7, 80, 102.8,118,118
22, Iowa, 7, B10, 22-11, +20.25, 115.0, 25, 94.8, 30,69.3, 149, -.071, 327, +9.69, 36, 109.8, 24, 100.1,52,52
23, Maryland, 5, B10, 27-9, +20.25, 115.1, 24, 94.8, 32,67.9, 239, +.017, 129, +9.55, 37, 108.9, 44, 99.3,28,28
24, Baylor, 5, B12, 22-12, +19.04, 117.8, 14, 98.7, 84,67.3, 262, -.012, 210, +12.35, 8, 109.5, 31, 97.2,1,1
25, Vanderbilt, 11, SEC, 19-14, +18.80, 112.6, 40, 93.8, 23,68.8, 180, -.105, 346, +9.23, 45, 108.8, 46, 99.5,33,33
26, Connecticut, 9, Amer, 25-11, +18.71, 110.8, 59, 92.1, 12,66.7, 292, -.036, 269, +7.00, 70, 107.2, 70, 100.2,56,56
