EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, North Carolina, 1, ACC, 34-4, +30.53, 119.8, 1, 89.3, 21,75.5, 7, -.011, 195, +9.92, 30, 105.0, 30, 95.1,25,25
2, Connecticut, 1, BE, 31-5, +28.57, 112.2, 17, 83.6, 3,70.1, 88, +.024, 106, +10.74, 18, 105.9, 14, 95.2,27,27
3, Pittsburgh, 1, BE, 31-5, +28.26, 117.3, 2, 89.1, 20,68.3, 160, -.012, 199, +11.17, 10, 105.4, 25, 94.3,10,10
4, Memphis, 2, CUSA, 33-4, +27.93, 108.8, 37, 80.9, 1,69.2, 119, -.009, 190, +6.08, 67, 103.1, 65, 97.0,69,69
5, Louisville, 1, BE, 31-6, +25.53, 108.3, 41, 82.7, 2,69.6, 107, +.068, 25, +10.64, 20, 105.9, 15, 95.3,30,30
6, Missouri, 3, B12, 31-7, +24.32, 113.3, 10, 89.0, 19,73.4, 18, +.032, 86, +8.66, 43, 103.7, 55, 95.0,20,20
7, Oklahoma, 2, B12, 30-6, +24.08, 114.6, 4, 90.6, 34,69.7, 104, +.018, 119, +10.09, 28, 105.5, 23, 95.4,35,35
8, Gonzaga, 4, WCC, 28-6, +23.84, 113.3, 12, 89.4, 22,69.9, 97, +.003, 157, +4.48, 86, 102.1, 92, 97.7,87,87
9, Duke, 2, ACC, 30-7, +23.78, 114.0, 7, 90.2, 31,69.3, 118, +.053, 48, +10.85, 15, 105.6, 21, 94.8,15,15
10, Michigan St., 2, B10, 31-7, +23.75, 110.4, 25, 86.6, 6,69.1, 126, +.092, 9, +12.00, 5, 106.0, 11, 94.0,4,4
11, West Virginia, 6, BE, 23-12, +23.65, 110.3, 26, 86.7, 7,67.0, 222, -.068, 315, +10.74, 17, 105.7, 18, 95.0,18,18
12, UCLA, 6, P10, 26-9, +23.44, 115.8, 3, 92.3, 48,67.5, 193, -.030, 253, +9.56, 36, 104.9, 33, 95.3,32,32
13, Kansas, 3, B12, 27-8, +23.32, 110.5, 23, 87.2, 12,70.6, 74, -.012, 198, +10.01, 29, 105.5, 24, 95.4,36,36
14, Villanova, 3, BE, 30-8, +23.26, 110.1, 27, 86.8, 9,71.8, 41, +.021, 115, +10.86, 14, 106.1, 9, 95.3,29,29
15, Arizona St., 6, P10, 25-10, +22.48, 114.2, 5, 91.7, 41,62.0, 333, -.018, 222, +10.62, 22, 106.1, 10, 95.4,37,37
16, Syracuse, 3, BE, 28-10, +21.67, 113.2, 13, 91.6, 39,72.0, 37, +.025, 105, +12.24, 2, 105.6, 20, 93.4,1,1
17, Washington, 4, P10, 26-9, +21.53, 108.8, 35, 87.3, 14,74.5, 11, -.005, 177, +10.95, 13, 106.7, 3, 95.8,41,41
18, Purdue, 5, B10, 27-10, +21.36, 106.5, 62, 85.1, 5,68.2, 162, -.013, 202, +9.78, 32, 104.4, 46, 94.6,12,12
19, Marquette, 6, BE, 25-10, +20.52, 113.5, 8, 93.0, 59,70.1, 85, -.013, 203, +8.65, 44, 104.7, 37, 96.1,50,50
20, Xavier, 4, A10, 27-8, +19.79, 107.0, 55, 87.2, 13,68.3, 158, -.007, 184, +6.19, 66, 102.9, 68, 96.7,62,62
21, BYU, 8, MWC, 25-8, +19.70, 110.5, 22, 90.8, 36,70.7, 70, -.046, 284, +4.83, 83, 102.4, 78, 97.6,86,86
22, Clemson, 7, ACC, 23-9, +19.17, 112.3, 16, 93.1, 61,71.1, 58, -.023, 235, +6.87, 59, 102.5, 76, 95.7,38,38
23, Texas, 7, B12, 23-12, +19.14, 108.0, 43, 88.9, 18,68.6, 147, -.047, 289, +10.45, 24, 106.3, 6, 95.9,46,46
24, Wake Forest, 4, ACC, 24-7, +18.54, 108.1, 42, 89.5, 23,75.7, 6, +.052, 50, +7.50, 53, 104.3, 48, 96.8,64,64
25, Illinois, 5, B10, 24-10, +18.33, 103.1, 103, 84.8, 4,65.4, 276, +.001, 163, +8.95, 40, 103.8, 54, 94.8,16,16
26, Oklahoma St., 8, B12, 23-12, +17.96, 113.3, 11, 95.3, 89,72.1, 35, -.003, 168, +11.05, 11, 105.9, 13, 94.9,17,17
27, USC, 10, P10, 22-13, +17.82, 106.1, 64, 88.3, 15,66.6, 241, -.032, 262, +11.87, 6, 107.9, 1, 96.1,49,49
28, Utah, 5, MWC, 24-10, +17.42, 107.2, 51, 89.7, 26,67.4, 194, +.013, 137, +7.38, 55, 104.8, 35, 97.4,81,81
29, Wisconsin, 12, B10, 20-13, +17.24, 109.9, 29, 92.7, 55,61.0, 337, -.051, 297, +10.25, 25, 104.4, 45, 94.2,6,6
30, California, 7, P10, 22-11, +17.01, 113.4, 9, 96.4, 114,68.0, 171, +.002, 159, +9.63, 35, 105.0, 29, 95.4,34,34
32, Tennessee, 9, SEC, 21-13, +16.18, 111.5, 19, 95.3, 87,71.0, 63, -.032, 263, +9.64, 34, 104.9, 32, 95.3,31,31
34, Ohio St., 8, B10, 22-11, +15.97, 109.2, 33, 93.2, 62,64.8, 299, +.042, 67, +10.58, 23, 105.0, 31, 94.4,11,11
37, Arizona, 12, P10, 21-14, +15.55, 114.0, 6, 98.4, 152,67.1, 215, +.019, 118, +12.03, 4, 106.3, 7, 94.2,8,8
38, Butler, 9, Horz, 26-6, +15.50, 106.9, 58, 91.4, 38,65.1, 287, -.014, 205, +2.83, 103, 99.9, 151, 97.1,72,72
39, Florida St., 5, ACC, 25-10, +15.36, 102.0, 115, 86.7, 8,68.7, 144, +.066, 28, +9.83, 31, 105.9, 12, 96.1,52,52
41, Minnesota, 10, B10, 22-11, +14.99, 103.7, 95, 88.7, 17,66.9, 224, +.031, 90, +9.68, 33, 104.8, 36, 95.1,24,24
44, Utah St., 11, WAC, 30-5, +14.89, 113.1, 14, 98.2, 147,63.0, 326, +.046, 58, -0.34, 152, 100.1, 144, 100.5,183,183
45, Texas A&M, 9, B12, 24-10, +14.65, 109.2, 34, 94.5, 74,67.1, 216, +.053, 49, +8.78, 42, 104.6, 42, 95.8,42,42
46, LSU, 8, SEC, 27-8, +14.55, 107.9, 45, 93.4, 63,68.8, 132, +.076, 21, +5.02, 79, 102.2, 88, 97.2,73,73
47, Michigan, 10, B10, 21-14, +14.47, 108.3, 40, 93.8, 66,64.5, 303, +.014, 134, +11.68, 7, 105.4, 26, 93.7,2,2
50, Temple, 11, A10, 22-12, +14.09, 105.9, 67, 91.8, 44,66.5, 251, -.005, 178, +5.59, 72, 103.1, 63, 97.5,84,84
54, VCU, 11, CAA, 24-10, +13.24, 105.8, 68, 92.5, 52,68.3, 159, -.072, 320, +0.56, 140, 99.9, 149, 99.4,150,150
55, Maryland, 10, ACC, 21-14, +13.24, 105.8, 69, 92.5, 51,69.5, 110, +.040, 70, +10.69, 19, 105.7, 17, 95.0,23,23
62, North Dakota St., 14, Sum, 26-7, +12.01, 110.4, 24, 98.4, 150,69.9, 95, -.009, 189, -2.09, 194, 99.7, 162, 101.8,240,240
66, Cleveland St., 13, Horz, 26-11, +11.67, 101.9, 119, 90.2, 30,66.6, 243, +.010, 144, +3.30, 99, 101.0, 115, 97.7,89,89
67, Siena, 9, MAAC, 27-8, +11.64, 106.5, 63, 94.8, 78,73.4, 16, +.031, 89, +1.61, 123, 99.6, 171, 98.0,98,98
69, Mississippi St., 13, SEC, 23-13, +11.29, 103.5, 98, 92.2, 46,70.7, 69, -.005, 173, +5.82, 69, 102.7, 72, 96.8,65,65
74, Boston College, 7, ACC, 22-12, +10.87, 109.3, 32, 98.4, 151,68.2, 164, +.039, 73, +7.45, 54, 104.0, 50, 96.5,57,57
77, Dayton, 11, A10, 27-8, +10.04, 99.7, 158, 89.6, 25,67.0, 218, +.108, 5, +3.36, 97, 102.1, 91, 98.8,127,127
83, Northern Iowa, 12, MVC, 23-11, +9.48, 106.7, 60, 97.2, 127,63.7, 319, +.053, 47, +3.14, 102, 101.6, 97, 98.5,116,116
88, Western Kentucky, 12, SB, 25-9, +7.96, 107.7, 46, 99.7, 180,68.0, 176, +.092, 10, -1.21, 176, 98.7, 205, 99.9,167,167
96, Akron, 13, MAC, 23-13, +6.78, 99.3, 166, 92.5, 50,67.3, 202, -.014, 204, -1.65, 183, 97.5, 245, 99.1,140,140
100, Stephen F. Austin, 14, Slnd, 24-8, +6.47, 93.6, 264, 87.1, 10,65.4, 275, +.052, 51, -2.84, 208, 98.5, 211, 101.3,212,212
105, East Tennessee St., 16, ASun, 23-11, +5.50, 102.6, 107, 97.1, 126,72.9, 21, -.047, 288, -5.04, 263, 96.9, 268, 101.9,250,250
107, Cal St. Northridge, 15, BW, 17-14, +5.10, 98.9, 174, 93.8, 65,73.8, 14, -.045, 283, -0.64, 162, 100.4, 137, 101.0,200,200
108, Cornell, 14, Ivy, 21-10, +5.03, 104.7, 86, 99.7, 178,68.2, 163, -.004, 170, -5.84, 278, 95.7, 292, 101.5,225,225
112, American, 14, Pat, 24-8, +4.58, 101.7, 126, 97.1, 125,63.4, 322, +.093, 7, -6.71, 292, 94.2, 319, 100.9,197,197
119, Portland St., 13, BSky, 23-10, +3.91, 105.1, 80, 101.2, 216,68.1, 167, +.024, 108, -3.48, 222, 98.3, 217, 101.8,242,242
145, Robert Morris, 15, NEC, 24-11, +1.51, 98.8, 178, 97.3, 134,68.7, 142, +.055, 45, -6.94, 297, 96.1, 281, 103.1,304,304
153, Morgan St., 15, MEAC, 23-12, +0.89, 96.1, 227, 95.2, 84,68.4, 154, +.031, 88, -8.35, 311, 94.5, 311, 102.9,293,293
157, Morehead St., 16, OVC, 20-16, +0.77, 98.5, 185, 97.8, 140,68.0, 175, +.016, 128, -2.76, 206, 99.9, 150, 102.7,283,283
176, Radford, 16, BSth, 21-12, -0.88, 97.9, 203, 98.7, 161,72.4, 29, +.076, 22, -4.52, 253, 97.8, 234, 102.3,267,267
177, Binghamton, 15, AE, 23-9, -1.02, 98.6, 184, 99.6, 175,69.5, 112, +.131, 3, -5.93, 279, 96.2, 279, 102.1,257,257
