Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar
Ernest Wilford,Jax,15,11,123,11.18,8.2,30,1,6,21
Sam Hurd,Dal,16,7,121,17.29,7.6,53,1,4,12
Justin Griffith,Sea,13,19,118,6.21,9.1,25,1,4,26
Ryan Moats,Hou,14,13,106,8.15,7.6,20,1,7,15
Derek Hagan,NYG,16,8,101,12.62,6.3,23t,1,4,8
Greg Lewis,Min,13,8,96,12,7.4,32t,1,3,11
Aaron Brown,Det,15,9,84,9.33,5.6,26t,1,5,15
LaRod Stephens-Howling,Ari,16,10,83,8.3,5.2,15,1,3,18
Steve Heiden,Cle,7,10,73,7.3,10.4,14,1,3,17
Nate Hughes,Jax,8,5,70,14,8.8,35t,1,2,12
Naufahu Tahi,Min,15,10,67,6.7,4.5,32,1,4,12
Willie Parker,Pit,14,6,64,10.67,4.6,27t,1,2,7
Anthony Becht,Ari,16,7,61,8.71,3.8,16,1,4,12
Michael Gaines,Cle,9,5,59,11.8,6.6,24,1,3,9
Clinton Portis,Was,8,9,57,6.33,7.1,10t,1,2,12
Ovie Mughelli,Atl,14,7,51,7.29,3.6,21,1,3,10
Tim Castille,KC,7,4,37,9.25,5.3,20t,1,1,6
Kory Sperry,Mia,8,3,31,10.33,3.9,13,1,3,6
Kris Wilson,SD,16,4,28,7,1.8,21,1,2,6
Lawrence Vickers,Cle,16,8,27,3.38,1.7,12,1,3,18
Ryan Denney,Buf,16,1,25,25,1.6,25t,1,1,1
Matt Spaeth,Pit,16,5,25,5,1.6,9,1,1,7
Madison Hedgecock,NYG,16,4,23,5.75,1.4,9,1,1,9
Brad Hoover,Car,11,4,23,5.75,2.1,12,1,3,9
Darnell Dinkins,NO,11,5,22,4.4,2,8,1,2,7
Owen Schmitt,Sea,15,6,21,3.5,1.4,10,1,2,11
Sinorice Moss,NYG,8,1,18,18,2.2,18t,1,1,4
Ben Hartsock,NYJ,16,1,2,2,0.1,2t,1,1,4
Mike Vrabel,KC,14,1,1,1,0.1,1t,1,1,1
Torry Holt,Jax,15,51,722,14.16,48.1,63,0,35,103
Greg Camarillo,Mia,16,50,552,11.04,34.5,29,0,29,72
Antwaan Randle El,Was,16,50,530,10.6,33.1,44,0,33,76
Matt Forte,Chi,16,57,471,8.26,29.4,37,0,17,72
Adrian Peterson,Min,16,43,436,10.14,27.2,63,0,16,57
Tim Hightower,Ari,16,63,428,6.79,26.8,23,0,22,80
David Anderson,Hou,16,38,370,9.74,23.1,27,0,22,53
Malcolm Kelly,Was,16,25,347,13.88,21.7,84,0,15,41
Eddie Royal,Den,14,37,345,9.32,24.6,20,0,23,79
Steven Jackson,Stl,15,51,322,6.31,21.5,38,0,16,75
LeSean McCoy,Phi,16,40,308,7.7,19.2,45,0,13,55
Isaac Bruce,SF,10,21,264,12.57,26.4,50,0,13,49
Johnnie Lee Higgins,Oak,15,19,263,13.84,17.5,33,0,14,45
Keenan Burton,Stl,9,25,253,10.12,28.1,25,0,17,45
DeAngelo Williams,Car,13,29,252,8.69,19.4,30,0,14,41
Darren McFadden,Oak,12,21,245,11.67,20.4,48,0,10,36
Gary Barnidge,Car,16,12,242,20.17,15.1,55,0,8,21
Correll Buckhalter,Den,14,31,240,7.74,17.1,30,0,8,38
Delanie Walker,SF,16,21,233,11.1,14.6,39,0,10,33
Marion Barber,Dal,15,26,221,8.5,14.7,42,0,10,36
Brian Leonard,Cin,14,30,217,7.23,15.5,18,0,13,35
Maurice Morris,Det,14,26,210,8.08,15,19,0,7,38
Ahmad Bradshaw,NYG,15,21,207,9.86,13.8,55,0,6,30
Ryan Grant,GB,16,25,197,7.88,12.3,27,0,9,30
Jerheme Urban,Ari,10,18,186,10.33,18.6,40,0,9,29
Sammy Morris,NE,12,19,180,9.47,15,35,0,10,27
Ladell Betts,Was,10,17,179,10.53,17.9,25,0,9,20
Marshawn Lynch,Buf,13,28,179,6.39,13.8,35,0,6,37
Lance Long,KC,8,20,178,8.9,22.2,30,0,6,38
Deon Butler,Sea,16,15,175,11.67,10.9,32,0,9,42
Mike Furrey,Cle,16,23,170,7.39,10.6,22,0,12,39
Donald Brown,Ind,11,11,169,15.36,15.4,72,0,7,14
Martellus Bennett,Dal,14,15,159,10.6,11.4,21,0,8,30
Evan Moore,Cle,5,12,158,13.17,31.6,24,0,8,23
Reggie Brown,Phi,14,9,155,17.22,11.1,43,0,7,24
LaDainian Tomlinson,SD,14,20,154,7.7,11,36,0,7,30
Daniel Coats,Cin,16,16,150,9.38,9.4,23,0,3,31
Beanie Wells,Ari,16,12,143,11.92,8.9,25,0,5,16
Le'Ron McClain,Bal,16,21,141,6.71,8.8,19,0,6,27
Jerome Felton,Det,13,13,133,10.23,10.2,27,0,5,17
Tashard Choice,Dal,16,15,132,8.8,8.2,28,0,6,22
Leon Washington,NYJ,7,15,131,8.73,18.7,33,0,4,26
Casey Fitzsimmons,Det,12,18,128,7.11,10.7,12,0,5,27
Brad Cottam,KC,8,9,120,13.33,15,26,0,6,15
Felix Jones,Dal,14,19,119,6.26,8.5,30,0,5,22
Brandon Lloyd,Den,2,8,117,14.62,58.5,44,0,5,18
Justin Fargas,Oak,12,17,113,6.65,9.4,14,0,5,21
Cedric Benson,Cin,13,17,111,6.53,8.5,19,0,5,24
Brian Finneran,Atl,10,11,111,10.09,11.1,19,0,7,16
Lavelle Hawkins,Ten,10,7,110,15.71,11,32,0,5,14
Earnest Graham,TB,13,14,109,7.79,8.4,16,0,3,22
Tom Santi,Ind,3,8,107,13.38,35.7,31,0,6,11
Jarett Dillard,Jax,7,6,106,17.67,15.1,33,0,5,8
Brian Robiskie,Cle,11,7,106,15.14,9.6,43,0,6,20
Michael Bush,Oak,16,17,105,6.18,6.6,17,0,3,19
Derek Schouman,Buf,2,9,103,11.44,51.5,27,0,5,11
Rashad Jennings,Jax,15,16,101,6.31,6.7,14,0,4,18
Quinton Ganther,Was,8,9,99,11,12.4,42,0,4,10
Laurence Maroney,NE,15,14,99,7.07,6.6,17,0,4,17
Ruvell Martin,Stl,8,6,99,16.5,12.4,33,0,4,12
Ronnie Brown,Mia,9,14,98,7,10.9,27,0,5,20
Kenneth Darby,Stl,16,18,96,5.33,6,13,0,6,24
Kevin Ogletree,Dal,11,7,96,13.71,8.7,21,0,5,8
Gary Russell,Oak,12,12,96,8,8,20,0,6,15
Billy Bajema,Stl,16,8,94,11.75,5.9,27,0,4,11
Arian Foster,Hou,6,8,93,11.62,15.5,20,0,4,9
Todd Watkins,Oak,13,8,90,11.25,6.9,28,0,4,19
Jamal Lewis,Cle,9,8,88,11,9.8,19,0,5,11
