Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar
Montell Owens,Jax,16,0,0,0,0,0,0,0,1
Maurice Purify,Cin,5,0,0,0,0,0,0,0,1
Richard Quinn,Den,15,0,0,0,0,0,0,0,1
Darius Reynaud,Min,11,0,0,0,0,0,0,0,2
Dennis Roland,Cin,16,0,0,0,0,0,0,0,1
Jerome Simpson,Cin,2,0,0,0,0,0,0,0,1
Craig Stevens,Ten,12,0,0,0,0,0,0,0,1
Will Svitek,Atl,13,0,0,0,0,0,0,0,1
Brett Swain,GB,6,0,0,0,0,0,0,0,1
Brandon Tate,NE,2,0,0,0,0,0,0,0,2
Javarris Williams,KC,4,0,0,0,0,0,0,0,1
Keith Zinger,Atl,15,0,0,0,0,0,0,0,1
Brett Favre,Min,16,1,-2,-2,-0.1,-2,0,0,1
