Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD
Reggie Bush,NO,12,73,417,5.71,34.8,25,2,24
Jeff King,Car,16,46,406,8.83,25.4,29,2,25
Marcedes Lewis,Jax,16,37,391,10.57,24.4,25,2,22
Greg Olsen,Chi,14,39,391,10.03,27.9,31,2,19
Eric Johnson,NO,14,48,378,7.88,27,22,2,19
Derek Hagan,Mia,16,29,373,12.86,23.3,22t,2,21
Chris Henry,Cin,8,21,343,16.33,42.9,52t,2,14
Jerheme Urban,Ari,10,22,329,14.95,32.9,42,2,16
Billy Miller,NO,16,27,328,12.15,20.5,57,2,20
Brad Smith,NYJ,16,32,325,10.16,20.3,29,2,15
David Martin,Mia,15,34,303,8.91,20.2,28,2,16
Lance Moore,NO,16,32,302,9.44,18.9,22,2,22
Devin Hester,Chi,16,20,299,14.95,18.7,81t,2,11
Samie Parker,KC,15,24,298,12.42,19.9,24,2,14
Marion Barber,Dal,16,44,282,6.41,17.6,29,2,16
Marcus Pollard,Sea,14,28,273,9.75,19.5,22,2,15
Jason Avant,Phi,15,23,267,11.61,17.8,31,2,15
Brandon Jones,Ten,9,21,248,11.81,27.6,35t,2,11
Jamal Lewis,Cle,15,30,248,8.27,16.5,34,2,9
Daniel Graham,Den,15,24,246,10.25,16.4,28,2,12
Justin Peelle,Mia,16,29,228,7.86,14.2,35,2,12
Michael Gaines,Buf,15,25,215,8.6,14.3,20,2,13
Najeh Davenport,Pit,15,18,184,10.22,12.3,32t,2,6
Brandon Jacobs,NYG,11,23,174,7.57,15.8,34,2,7
Greg Camarillo,Mia,15,8,160,20,10.7,64t,2,6
Terrance Copper,NO,15,15,126,8.4,8.4,21,2,7
Kevin Boss,NYG,13,9,118,13.11,9.1,23,2,8
Vonta Leach,Hou,16,25,108,4.32,6.8,15,2,6
Dante Rosario,Car,16,6,108,18,6.8,54,2,5
James Thrash,Was,12,9,107,11.89,8.9,31,2,4
Greg Jones,Jax,16,11,99,9,6.2,27,2,8
Tim Dwight,Oak,6,6,98,16.33,16.3,28t,2,4
Lawrence Vickers,Cle,16,13,91,7,5.7,25,2,7
Ben Patrick,Ari,8,7,73,10.43,9.1,21,2,6
Kyle Brady,NE,14,9,70,7.78,5,20,2,5
Joel Dreessen,Hou,13,4,55,13.75,4.2,28t,2,3
Christian Fauria,Car,15,5,39,7.8,2.6,16,2,5
Anthony Becht,TB,16,5,20,4,1.2,9,2,2
Jared Allen,KC,14,2,3,1.5,0.2,2t,2,2
Mike Vrabel,NE,16,2,3,1.5,0.2,2t,2,2
Antwaan Randle El,Was,15,51,728,14.27,48.5,54,1,38
Ike Hilliard,TB,15,62,722,11.65,48.1,56,1,37
Mike Furrey,Det,16,61,664,10.89,41.5,49,1,37
Marty Booker,Mia,15,50,556,11.12,37.1,26,1,28
Laurent Robinson,Atl,15,37,437,11.81,29.1,74t,1,14
Frank Gore,SF,15,53,436,8.23,29.1,23t,1,20
Bo Scaife,Ten,16,46,421,9.15,26.3,26,1,27
Robert Ferguson,Min,15,32,391,12.22,26.1,71,1,19
Ronnie Brown,Mia,7,39,389,9.97,55.6,43,1,18
Kevin Faulk,NE,16,47,383,8.15,23.9,23,1,20
Ben Utecht,Ind,14,31,364,11.74,26,30,1,20
Roscoe Parrish,Buf,16,35,352,10.06,22,47t,1,19
Visanthe Shiancoe,Min,16,27,323,11.96,20.2,79,1,11
Sam Hurd,Dal,16,19,314,16.53,19.6,51t,1,17
Jeff Webb,KC,16,28,313,11.18,19.6,32,1,13
Steven Jackson,Stl,12,38,271,7.13,22.6,37,1,13
Adrian Peterson,Min,14,19,268,14.11,19.1,60t,1,13
Keenan McCardell,Was,10,22,256,11.64,25.6,32,1,16
Marvin Harrison,Ind,5,20,247,12.35,49.4,42,1,12
Quinn Sypniewski,Bal,15,34,246,7.24,16.4,13,1,15
Joe Horn,Atl,12,27,243,9,20.2,26,1,17
J.J. Arrington,Ari,16,29,241,8.31,15.1,32,1,9
Koren Robinson,GB,9,21,241,11.48,26.8,43,1,11
Troy Williamson,Min,11,18,240,13.33,21.8,60t,1,9
Todd Heap,Bal,6,23,239,10.39,39.8,37,1,14
L.J. Smith,Phi,10,22,236,10.73,23.6,26,1,12
Willis McGahee,Bal,15,43,231,5.37,15.4,30,1,10
Thomas Jones,NYJ,16,28,217,7.75,13.6,25,1,8
Maurice Morris,Sea,14,23,213,9.26,15.2,34t,1,8
Cedrick Wilson,Pit,16,18,207,11.5,12.9,18,1,13
Craig Davis,SD,13,20,188,9.4,14.5,18,1,12
Larry Johnson,KC,8,30,186,6.2,23.2,30t,1,9
DeShaun Foster,Car,16,25,182,7.28,11.4,23,1,6
Ben Obomanu,Sea,13,12,180,15,13.8,30,1,9
Kris Wilson,KC,16,24,180,7.5,11.2,31,1,8
Derrick Ward,NYG,8,26,179,6.88,22.4,17,1,7
Brent Celek,Phi,16,16,178,11.12,11.1,29,1,10
DeAngelo Williams,Car,16,23,175,7.61,10.9,30,1,5
Ladell Betts,Was,16,21,174,8.29,10.9,28,1,7
Delanie Walker,SF,16,21,174,8.29,10.9,26,1,8
Justin Griffith,Oak,16,26,165,6.35,10.3,29,1,7
Pierre Thomas,NO,12,17,151,8.88,12.6,17,1,9
Antonio Chatman,Cin,13,19,149,7.84,11.5,15,1,9
Anthony Fasano,Dal,16,14,143,10.21,8.9,26t,1,6
Glenn Holt,Cin,16,16,143,8.94,8.9,22,1,10
Hank Baskett,Phi,16,16,142,8.88,8.9,25,1,5
David Anderson,Hou,8,12,131,10.92,16.4,24,1,9
John Broussard,Jax,8,4,126,31.5,15.8,56,1,3
George Wrighster,Jax,11,17,123,7.24,11.2,36,1,6
Tim Carter,Cle,16,8,117,14.62,7.3,22,1,7
Mike Sellers,Was,14,17,117,6.88,8.4,24,1,7
Rudi Johnson,Cin,11,13,110,8.46,10,33,1,3
Matt Schobel,Phi,15,11,108,9.82,7.2,18,1,6
John Madsen,Oak,16,8,102,12.75,6.4,39,1,5
Michael Bennett,TB,14,15,101,6.73,7.2,23t,1,3
Troy Walters,Det,13,9,101,11.22,7.8,21,1,5
Todd Yoder,Was,15,7,97,13.86,6.5,30,1,4
Anthony Thomas,Buf,10,15,95,6.33,9.5,11,1,3
Brandon Manumaleuna,SD,16,10,86,8.6,5.4,40,1,3
Maurice Stovall,TB,15,10,86,8.6,5.7,13,1,6
Casey Fitzsimmons,Det,16,8,85,10.62,5.3,22,1,6
Richard Angulo,Jax,5,8,81,10.12,16.2,22,1,3
Kenton Keith,Ind,16,13,77,5.92,4.8,14,1,3
Shaun Alexander,Sea,13,14,76,5.43,5.8,18,1,4
Mark Bradley,Chi,15,6,71,11.83,4.7,19t,1,3
Brandon Middleton,Det,5,8,70,8.75,14,17,1,6
Craphonso Thorpe,Ind,5,12,70,5.83,14,12,1,4
Adam Jennings,Atl,16,6,62,10.33,3.9,28,1,3
Le'Ron McClain,Bal,16,9,55,6.11,3.4,13t,1,1
Cecil Sapp,Den,16,14,51,3.64,3.2,16,1,3
Troy Bienemann,Ari,16,7,46,6.57,2.9,13,1,2
Jim Kleinsasser,Min,16,4,43,10.75,2.7,26,1,3
Taylor Jacobs,SF,4,3,40,13.33,10,21t,1,2
Jeb Putzier,Hou,8,6,39,6.5,4.9,11,1,2
Joe Klopfenstein,Stl,16,2,37,18.5,2.3,36t,1,1
Nate Jackson,Den,5,3,34,11.33,6.8,24,1,2
Jeremi Johnson,Cin,16,6,32,5.33,2,14,1,3
Luke Lawton,Ind,11,4,29,7.25,2.6,11,1,2
Lorenzo Neal,SD,13,8,23,2.88,1.8,9,1,1
Joe Kowalewski,NYJ,13,5,18,3.6,1.4,6,1,1
Daniel Wilcox,Bal,5,6,18,3,3.6,7,1,1
Jerame Tuman,Pit,6,1,9,9,1.5,9t,1,1
John St. Clair,Chi,16,1,2,2,0.1,2t,1,1
Josh Reed,Buf,15,51,578,11.33,38.5,30,0,33
Mark Clayton,Bal,16,48,531,11.06,33.2,52,0,30
Adrian Peterson,Chi,16,51,420,8.24,26.2,30,0,15
Maurice Jones-Drew,Jax,15,40,407,10.18,27.1,43,0,22
Clinton Portis,Was,16,47,389,8.28,24.3,54,0,19
Kenny Watson,Cin,16,52,374,7.19,23.4,43,0,12
Eric Moulds,Ten,16,32,342,10.69,21.4,46,0,21
Keary Colbert,Car,12,32,332,10.38,27.7,43,0,16
Earnest Graham,TB,15,49,324,6.61,21.6,21,0,13
Leonard Weaver,Sea,16,39,313,8.03,19.6,46,0,15
Michael Clayton,TB,14,22,301,13.68,21.5,39,0,14
Demetrius Williams,Bal,9,20,290,14.5,32.2,34,0,16
Javon Walker,Den,8,26,287,11.04,35.9,24,0,10
Chester Taylor,Min,14,29,281,9.69,20.1,50,0,12
Jerious Norwood,Atl,15,28,277,9.89,18.5,46,0,12
Sean McHugh,Det,15,17,252,14.82,16.8,46,0,13
LaMont Jordan,Oak,12,28,247,8.82,20.6,27,0,11
Warrick Dunn,Atl,16,37,238,6.43,14.9,35,0,5
Lorenzo Booker,Mia,7,28,237,8.46,33.9,22,0,13
Jason Wright,Cle,16,24,233,9.71,14.6,23,0,14
Justin McCareins,NYJ,16,19,232,12.21,14.5,51,0,13
Selvin Young,Den,15,35,231,6.6,15.4,24,0,11
Sinorice Moss,NYG,13,21,225,10.71,17.3,20,0,11
Leon Washington,NYJ,16,36,213,5.92,13.3,18,0,15
Reggie Kelly,Cin,15,20,211,10.55,14.1,26,0,7
Aaron Stecker,NO,16,36,211,5.86,13.2,26,0,11
Edgerrin James,Ari,16,24,204,8.5,12.8,26,0,9
Julius Jones,Dal,16,23,203,8.83,12.7,24,0,10
Vernand Morency,GB,13,30,199,6.63,15.3,18,0,9
Kevin Jones,Det,13,32,197,6.16,15.2,16,0,6
Musa Smith,Bal,16,27,192,7.11,12,29,0,8
Michael Pittman,TB,10,26,191,7.35,19.1,16,0,10
Fred Jackson,Buf,8,22,190,8.64,23.8,54,0,7
Justin Fargas,Oak,14,23,188,8.17,13.4,17,0,11
Marshawn Lynch,Buf,13,18,184,10.22,14.2,30,0,10
Brian Leonard,Stl,16,30,183,6.1,11.4,16,0,8
B.J. Askew,TB,13,18,175,9.72,13.5,22,0,9
Glenn Martinez,Den,12,14,175,12.5,14.6,23,0,9
Rashied Davis,Chi,16,17,165,9.71,10.3,36,0,8
Willie Parker,Pit,15,23,164,7.13,10.9,22,0,7
Jesse Chatman,Mia,14,27,161,5.96,11.5,22,0,8
Jacoby Jones,Hou,14,15,149,9.93,10.6,26,0,9
Kolby Smith,KC,16,22,148,6.73,9.2,17,0,7
Ryan Grant,GB,15,30,145,4.83,9.7,21,0,8
Bryan Fletcher,Ind,15,18,143,7.94,9.5,21,0,10
Reche Caldwell,Was,8,15,141,9.4,17.6,19,0,8
Ben Hartsock,Ten,16,12,138,11.5,8.6,27,0,7
Greg Estandia,Jax,10,9,136,15.11,13.6,30,0,5
Sean Morey,Ari,15,8,131,16.38,8.7,62,0,4
Brandon Jackson,GB,11,16,130,8.12,11.8,16,0,6
Aveion Cason,Det,12,14,129,9.21,10.8,20,0,5
Chris Brown,Ten,12,19,128,6.74,10.7,16,0,7
Cedric Benson,Chi,11,17,123,7.24,11.2,19,0,5
Ahman Green,Hou,6,14,123,8.79,20.5,53,0,2
Aundrae Allison,Min,11,8,122,15.25,11.1,35,0,5
Daniel Coats,Cin,15,12,122,10.17,8.1,25,0,7
Garrett Wolfe,Chi,13,9,117,13,9,33,0,4
Laurence Maroney,NE,13,4,116,29,8.9,43,0,4
Ashley Lelie,SF,15,10,115,11.5,7.7,47,0,4
LenDale White,Ten,16,20,114,5.7,7.1,15,0,7
Ron Dayne,Hou,13,17,112,6.59,8.6,17,0,4
Bryan Gilmore,SF,10,7,111,15.86,11.1,42,0,7
Samkon Gado,Mia,8,12,106,8.83,13.2,35,0,3
Steve Heiden,Cle,16,12,104,8.67,6.5,27,0,4
Marques Hagans,Stl,4,8,101,12.62,25.2,23,0,6
Eddie Kennison,KC,8,13,101,7.77,12.6,18,0,6
Malcom Floyd,SD,6,7,97,13.86,16.2,25,0,4
Devin Aromashodu,Ind,6,7,96,13.71,16,28,0,5
Steve Breaston,Ari,16,8,92,11.5,5.8,22,0,3
Mike Williams,Oak,6,7,90,12.86,15,24,0,3
Tony Richardson,Min,14,11,89,8.09,6.4,12,0,4
Correll Buckhalter,Phi,14,12,87,7.25,6.2,14,0,7
Wallace Wright,NYJ,16,6,87,14.5,5.4,36,0,4
Maurice Hicks,SF,16,14,86,6.14,5.4,11,0,3
Travis Minor,Stl,14,12,86,7.17,6.1,20,0,5
Chad Lucas,TB,2,5,82,16.4,41,52,0,1
Darius Walker,Hou,4,13,81,6.23,20.2,9,0,5
Mike Karney,NO,16,13,78,6,4.9,11,0,3
Miles Austin,Dal,16,5,76,15.2,4.8,35,0,3
Dwayne Jarrett,Car,7,6,73,12.17,10.4,22,0,2
Michael Robinson,SF,15,11,73,6.64,4.9,20,0,4
Deshawn Wynn,GB,7,9,73,8.11,10.4,18,0,4
Mack Strong,Sea,5,9,72,8,14.4,15,0,5
Dominic Rhodes,Oak,10,11,70,6.36,7,17,0,1
Andre Hall,Den,10,2,69,34.5,6.9,65,0,1
Legedu Naanee,SD,13,8,69,8.62,5.3,22,0,4
Peerless Price,Buf,4,7,68,9.71,17,22,0,5
Travis Henry,Den,12,7,65,9.29,5.4,21,0,2
Aaron Moorehead,Ind,8,8,65,8.12,8.1,16,0,4
Tatum Bell,Det,5,14,63,4.5,12.6,15,0,2
Steve Smith,NYG,5,8,63,7.88,12.6,12,0,4
Chad Mustard,Den,12,5,62,12.4,5.2,15,0,4
Ahmard Hall,Ten,11,9,60,6.67,5.5,11,0,3
Terrelle Smith,Ari,16,7,59,8.43,3.7,16,0,4
Brad Hoover,Car,16,10,58,5.8,3.6,14,0,2
Fred Taylor,Jax,15,9,58,6.44,3.9,18,0,2
Jeff Dugan,Min,16,7,57,8.14,3.6,27,0,2
Deon Anderson,Dal,8,6,55,9.17,6.9,17,0,3
T.J. Duckett,Det,12,4,54,13.5,4.5,22,0,4
Willie Reid,Pit,6,4,54,13.5,9,25,0,2
Chris Henry,Ten,7,6,53,8.83,7.6,18,0,2
Madison Hedgecock,Stl,16,7,52,7.43,3.2,9,0,0
Martrez Milner,Atl,8,9,50,5.56,6.2,15,0,2
Thomas Tapeh,Phi,16,8,50,6.25,3.1,9,0,1
Carey Davis,Pit,16,12,49,4.08,3.1,10,0,2
Reuben Droughns,NYG,16,7,49,7,3.1,11,0,1
Korey Hall,GB,14,8,49,6.12,3.5,10,0,3
Dwayne Blakley,Atl,12,7,48,6.86,4,11,0,2
Mewelde Moore,Min,12,6,48,8,4,20,0,1
Johnnie Lee Higgins,Oak,16,6,47,7.83,2.9,16,0,2
Ben Troupe,Ten,16,5,47,9.4,2.9,13,0,2
Seneca Wallace,Sea,10,2,47,23.5,4.7,29,0,2
Sean Ryan,NYJ,10,3,46,15.33,4.6,22,0,2
Dominique Byrd,Stl,9,4,44,11,4.9,14,0,2
Heath Evans,NE,16,4,43,10.75,2.7,29,0,2
Jameel Cook,Hou,16,8,40,5,2.5,9,0,2
Anthony Mix,NYG,4,3,39,13,9.8,21,0,2
Chris Davis,Ten,12,5,38,7.6,3.2,13,0,1
Gilbert Harris,KC,4,3,38,12.67,9.5,19,0,1
Dane Looker,Stl,13,6,38,6.33,2.9,10,0,3
Moran Norris,SF,16,6,38,6.33,2.4,13,0,2
Courtney Taylor,Sea,8,5,38,7.6,4.8,12,0,2
Joshua Cribbs,Cle,16,3,37,12.33,2.3,18,0,3
Yamon Figurs,Bal,14,1,36,36,2.6,36,0,1
Ovie Mughelli,Atl,16,6,36,6,2.2,12,0,1
Brian Calhoun,Det,4,5,35,7,8.8,11,0,1
Sammy Morris,NE,6,6,35,5.83,5.8,18,0,1
Ryne Robinson,Car,16,4,35,8.75,2.2,12,0,2
David Tyree,NYG,12,4,35,8.75,2.9,24,0,2
Skyler Green,Cin,7,3,33,11,4.7,18,0,1
Jason McKie,Chi,16,9,33,3.67,2.1,10,0,2
Darren Sproles,SD,15,10,31,3.1,2.1,14,0,3
Michael Matthews,NYG,16,6,28,4.67,1.8,6,0,0
Dante Hall,Stl,7,5,27,5.4,3.9,12,0,2
Mike Anderson,Bal,8,4,26,6.5,3.2,10,0,1
Garrett Mills,Min,1,2,26,13,26,18,0,2
Marcel Shipp,Ari,16,4,25,6.25,1.6,9,0,0
Brian Clark,Den,4,4,23,5.75,5.8,7,0,0
Kassim Osgood,SD,16,2,23,11.5,1.4,15,0,1
Patrick Cobbs,Mia,14,2,20,10,1.4,11,0,0
DeDe Dorsey,Cin,12,4,19,4.75,1.6,17,0,1
Jerome Harrison,Cle,8,2,19,9.5,2.4,15,0,1
Chris McFoy,Oak,3,1,19,19,6.3,19,0,1
Derek Schouman,Buf,3,3,19,6.33,6.3,10,0,1
Priest Holmes,KC,4,5,17,3.4,4.2,8,0,0
Carnell Williams,TB,4,3,17,5.67,4.2,8,0,0
Dwayne Wright,Buf,15,3,17,5.67,1.1,8,0,1
Kenneth Darby,TB,1,2,16,8,16,9,0,0
Justin Green,Bal,15,2,16,8,1.1,10,0,1
Michael Turner,SD,16,4,16,4,1,12,0,1
Clifton Dawson,Ind,11,2,15,7.5,1.4,9,0,1
Dan Kreider,Pit,10,1,15,15,1.5,15,0,1
Jerome Mathis,Hou,3,1,15,15,5,15,0,1
Deuce McAllister,NO,3,4,15,3.75,5,7,0,0
Antonio Pittman,Stl,11,3,15,5,1.4,11,0,0
John Gilmore,Chi,15,3,14,4.67,0.9,7,0,1
Boomer Grigsby,KC,13,2,14,7,1.1,9,0,0
Alex Haynes,Car,10,3,14,4.67,1.4,6,0,2
Brandon Lloyd,Was,8,2,14,7,1.8,9,0,0
Ryan Neufeld,Buf,9,2,14,7,1.6,8,0,0
Chris Barclay,Ten,4,2,13,6.5,3.2,7,0,0
Shaun Bodiford,GB,6,1,13,13,2.2,13,0,1
John Owens,NO,15,2,13,6.5,0.9,9,0,0
Aaron Walker,Stl,7,2,13,6.5,1.9,8,0,1
Ahmad Bradshaw,NYG,12,2,12,6,1,11,0,1
Verron Haynes,Pit,1,1,12,12,12,12,0,1
Adimchinobe Echemandu,Hou,7,2,11,5.5,1.6,7,0,0
Ryan Krause,GB,9,2,11,5.5,1.2,6,0,0
Reno Mahe,Phi,15,1,11,11,0.7,11,0,1
Matt Willis,Bal,5,1,11,11,2.2,11,0,1
Sam Aiken,Buf,12,1,10,10,0.8,10,0,1
Jon Bradley,Det,15,2,10,5,0.7,8,0,0
Drew Brees,NO,16,2,10,5,0.6,8,0,0
Jason Dunn,KC,16,2,9,4.5,0.6,8,0,0
Jon Kitna,Det,16,1,9,9,0.6,9,0,0
Richard Owens,Stl,14,1,9,9,0.6,9,0,1
David Thomas,NE,2,1,9,9,4.5,9,0,1
Darnell Dinkins,Cle,15,1,8,8,0.5,8,0,0
Mike Bell,Den,5,1,7,7,1.4,7,0,0
Aaron Halterman,Mia,9,1,7,7,0.8,7,0,1
John Kuhn,GB,16,2,7,3.5,0.4,5,0,2
Tab Perry,Cin,2,1,7,7,3.5,7,0,1
Jason Pociask,NYJ,4,1,7,7,1.8,7,0,0
Naufahu Tahi,Min,10,1,7,7,0.7,7,0,0
Biren Ealy,Ten,4,1,6,6,1.5,6,0,0
Kyle Eckel,NE,12,1,6,6,0.5,6,0,0
Jason Hill,SF,5,1,6,6,1.2,6,0,0
Domenik Hixon,NYG,12,1,5,5,0.4,5,0,0
Brian Kozlowski,Was,3,1,5,5,1.7,5,0,0
Reagan Maui'a,Mia,16,2,5,2.5,0.3,5,0,0
Marcus Maxwell,Cin,5,1,5,5,1,5,0,1
Andrew Pinnock,SD,10,1,5,5,0.5,5,0,0
Isaac Smolko,Jax,6,1,5,5,0.8,5,0,0
Jackie Battle,KC,3,1,4,4,1.3,4,0,0
Joey Harrington,Atl,12,1,4,4,0.3,4,0,0
Travis Taylor,Stl,1,1,4,4,4,4,0,0
LaBrandon Toefield,Jax,2,1,4,4,2,4,0,0
Lee Vickers,Bal,9,2,4,2,0.4,5,0,0
Chris Davis,NYJ,2,1,3,3,1.5,3,0,0
Kevin Everett,Buf,1,1,3,3,3,3,0,0
Byron Storer,TB,9,2,3,1.5,0.3,2,0,0
Oliver Hoyte,Dal,10,1,2,2,0.2,2,0,1
Dan Campbell,Det,2,1,1,1,0.5,1,0,0
Orenthal O'Neal,Oak,14,1,1,1,0.1,1,0,0
Alvin Pearman,Sea,3,1,1,1,0.3,1,0,0
