Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD
Randy Moss,NE,16,98,1493,15.23,93.3,65t,23,74
Braylon Edwards,Cle,16,80,1289,16.11,80.6,78t,16,56
Terrell Owens,Dal,15,81,1355,16.73,90.3,52t,15,69
T.J. Houshmandzadeh,Cin,16,112,1143,10.21,71.4,42t,12,70
Plaxico Burress,NYG,16,70,1025,14.64,64.1,60t,12,49
Greg Jennings,GB,13,53,920,17.36,70.8,82t,12,37
Marques Colston,NO,16,98,1202,12.27,75.1,45,11,64
Dallas Clark,Ind,15,58,616,10.62,41.1,39,11,37
Reggie Wayne,Ind,16,104,1510,14.52,94.4,64,10,72
Larry Fitzgerald,Ari,15,100,1409,14.09,93.9,48t,10,69
Reggie Williams,Jax,15,38,629,16.55,41.9,80t,10,29
Antonio Gates,SD,16,75,984,13.12,61.5,49t,9,54
Anquan Boldin,Ari,12,71,853,12.01,71.1,44t,9,43
Nate Burleson,Sea,16,50,694,13.88,43.4,45t,9,37
Chad Johnson,Cin,16,93,1440,15.48,90,70t,8,74
Wes Welker,NE,16,112,1175,10.49,73.4,42,8,65
Santonio Holmes,Pit,13,52,942,18.12,72.5,83,8,42
Andre Johnson,Hou,9,60,851,14.18,94.6,77t,8,39
Chris Cooley,Was,16,66,786,11.91,49.1,39t,8,46
Brandon Marshall,Den,16,102,1325,12.99,82.8,68t,7,70
Torry Holt,Stl,16,93,1189,12.78,74.3,40,7,63
Jason Witten,Dal,16,96,1145,11.93,71.6,53,7,56
Steve Smith,Car,15,87,1002,11.52,66.8,74t,7,44
Hines Ward,Pit,13,71,732,10.31,56.3,25,7,47
Patrick Crayton,Dal,15,50,697,13.94,46.5,59t,7,33
Heath Miller,Pit,16,47,566,12.04,35.4,29,7,32
Roddy White,Atl,16,83,1202,14.48,75.1,69t,6,52
Bobby Engram,Sea,16,94,1147,12.2,71.7,49,6,63
Kevin Curtis,Phi,16,77,1110,14.42,69.4,75t,6,49
Joey Galloway,TB,15,57,1014,17.79,67.6,69t,6,37
Shaun McDonald,Det,16,79,943,11.94,58.9,49t,6,46
Jerry Porter,Oak,16,44,705,16.02,44.1,59,6,29
Laveranues Coles,NYJ,12,55,646,11.75,53.8,57t,6,35
Donald Lee,GB,15,48,575,11.98,38.3,60,6,29
Benjamin Watson,NE,12,36,389,10.81,32.4,35,6,21
Tony Gonzalez,KC,16,99,1172,11.84,73.2,31,5,59
Kellen Winslow,Cle,16,82,1106,13.49,69.1,49,5,56
Derrick Mason,Bal,16,103,1087,10.55,67.9,79t,5,60
Dwayne Bowe,KC,16,70,995,14.21,62.2,58,5,51
Bernard Berrian,Chi,16,71,951,13.39,59.4,59t,5,47
Lee Evans,Buf,16,55,849,15.44,53.1,85t,5,38
Roy Williams,Det,12,64,838,13.09,69.8,91t,5,34
Brian Westbrook,Phi,15,90,771,8.57,51.4,57t,5,31
Brandon Stokley,Den,13,40,635,15.88,48.8,58,5,34
Arnaz Battle,SF,16,50,600,12,37.5,57t,5,26
Tony Scheffler,Den,16,49,549,11.2,34.3,41,5,29
Nate Washington,Pit,16,29,450,15.52,28.1,40,5,21
Jabar Gaffney,NE,16,36,449,12.47,28.1,56t,5,21
Alge Crumpler,Atl,14,42,444,10.57,31.7,55t,5,22
Leonard Pope,Ari,13,23,238,10.35,18.3,31,5,12
Chris Chambers,SD,16,66,970,14.7,60.6,44,4,46
Kevin Walter,Hou,16,65,800,12.31,50,46,4,43
Reggie Brown,Phi,16,61,780,12.79,48.8,45t,4,38
Calvin Johnson,Det,15,48,756,15.75,50.4,49,4,38
Isaac Bruce,Stl,14,55,733,13.33,52.4,37,4,36
Roydell Williams,Ten,16,55,719,13.07,44.9,48,4,38
Ronald Curry,Oak,16,55,717,13.04,44.8,49,4,35
Deion Branch,Sea,11,49,661,13.49,60.1,65,4,30
Dennis Northcutt,Jax,15,44,601,13.66,40.1,55t,4,30
Desmond Clark,Chi,16,44,545,12.39,34.1,52,4,24
Michael Jenkins,Atl,15,53,532,10.04,35.5,29,4,31
Drew Carter,Car,16,38,517,13.61,32.3,49,4,28
Vernon Davis,SF,14,52,509,9.79,36.4,31,4,30
Sidney Rice,Min,13,31,396,12.77,30.5,60t,4,25
Matt Jones,Jax,12,24,317,13.21,26.4,48,4,15
Ruvell Martin,GB,15,16,242,15.12,16.1,36,4,15
Jerramy Stevens,TB,14,18,189,10.5,13.5,24t,4,11
Santana Moss,Was,14,61,808,13.25,57.7,49,3,43
David Patten,NO,16,54,792,14.67,49.5,58,3,37
Owen Daniels,Hou,16,63,768,12.19,48,29,3,44
Amani Toomer,NYG,16,59,760,12.88,47.5,40,3,42
Donte' Stallworth,NE,16,46,697,15.15,43.6,69t,3,27
Bobby Wade,Min,16,54,647,11.98,40.4,40,3,33
Vincent Jackson,SD,16,41,623,15.2,38.9,45,3,28
Jeremy Shockey,NYG,14,57,619,10.86,44.2,29,3,33
Joe Jurevicius,Cle,16,50,614,12.28,38.4,50,3,34
Andre' Davis,Hou,14,33,583,17.67,41.6,53t,3,19
Anthony Gonzalez,Ind,13,37,576,15.57,44.3,57t,3,27
Muhsin Muhammad,Chi,16,40,570,14.25,35.6,44,3,28
Ernest Wilford,Jax,16,45,518,11.51,32.4,35,3,35
Darrell Jackson,SF,15,46,497,10.8,33.1,34,3,33
LaDainian Tomlinson,SD,16,60,475,7.92,29.7,36,3,21
Zach Miller,Oak,16,44,444,10.09,27.8,28,3,24
Randy McMichael,Stl,16,39,429,11,26.8,29t,3,28
Chris Baker,NYJ,15,41,409,9.98,27.3,22,3,29
Devery Henderson,NO,16,20,409,20.45,25.6,54,3,16
Alex Smith,TB,14,32,385,12.03,27.5,33,3,20
D.J. Hackett,Sea,6,32,384,12,64,59,3,16
Drew Bennett,Stl,14,33,375,11.36,26.8,24,3,24
Joseph Addai,Ind,15,41,364,8.88,24.3,73t,3,15
Devard Darling,Bal,16,18,326,18.11,20.4,53,3,16
Greg Lewis,Phi,15,13,265,20.38,17.7,50,3,11
Robert Royal,Buf,16,25,248,9.92,15.5,28t,3,10
Bubba Franks,GB,8,18,132,7.33,16.5,24,3,7
Will Heller,Sea,16,13,82,6.31,5.1,25,3,5
Matt Spaeth,Pit,14,5,34,6.8,2.4,13t,3,4
Tony Curtis,Dal,16,3,18,6,1.1,15t,3,3
Jerricho Cotchery,NYJ,15,82,1130,13.78,75.3,50,2,51
Donald Driver,GB,15,82,1048,12.78,69.9,47,2,49
Justin Gage,Ten,16,55,750,13.64,46.9,73,2,45
James Jones,GB,16,47,676,14.38,42.2,79t,2,29
Bryant Johnson,Ari,16,46,528,11.48,33,30,2,33
Ted Ginn Jr.,Mia,16,34,420,12.35,26.2,54,2,18
